list,item,objects,clicks,target_pos,positions,probe_obj,probe_p1,probe_p2,probe_p3,probe_p4,probe_p5,probe_p6,probe_p7,test_p1,test_p2,test_p3,test_p4,test_p5,test_p6,test_p7,test_p8,test_p9,test_p10,test_p11,test_p12,test_p13,test_p14,test_p15,test_p16,test_p17,test_p18,test_p19,test_p20,corr_p1,corr_p2,corr_p3,corr_p4,corr_p5,corr_p6,corr_p7,corr_p8,corr_p9,corr_p10,corr_p11,corr_p12,corr_p13,corr_p14,corr_p15,corr_p16,corr_p17,corr_p18,corr_p19,corr_p20,sum
1,item01,2,1,"2,3",object1,3,colored PNG/PICTURE_78.png,,,,,,,,colored PNG/PICTURE_353.png,colored PNG/PICTURE_78.png,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,item02,2,1,"2,3",object4,2,colored PNG/PICTURE_423.png,,,,,,,,colored PNG/PICTURE_423.png,colored PNG/PICTURE_695.png,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,item03,2,1,"2,3",object3,3,colored PNG/PICTURE_264.png,,,,,,,,colored PNG/PICTURE_285.png,colored PNG/PICTURE_264.png,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,item04,3,1,"1,4,5",object4,4,colored PNG/PICTURE_423.png,,,,,,,colored PNG/PICTURE_78.png,,,colored PNG/PICTURE_423.png,colored PNG/PICTURE_353.png,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,item05,3,1,"1,4,5",object2,5,colored PNG/PICTURE_695.png,,,,,,,colored PNG/PICTURE_285.png,,,colored PNG/PICTURE_78.png,colored PNG/PICTURE_695.png,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,item06,3,1,"1,4,5",object6,4,colored PNG/PICTURE_353.png,,,,,,,colored PNG/PICTURE_264.png,,,colored PNG/PICTURE_353.png,colored PNG/PICTURE_423.png,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,item07,4,1,"2,3,6,7",object5,3,colored PNG/PICTURE_285.png,,,,,,,,colored PNG/PICTURE_264.png,colored PNG/PICTURE_285.png,,,colored PNG/PICTURE_353.png,colored PNG/PICTURE_695.png,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,item08,4,1,"2,3,6,7",object1,2,colored PNG/PICTURE_78.png,,,,,,,,colored PNG/PICTURE_78.png,colored PNG/PICTURE_264.png,,,colored PNG/PICTURE_695.png,colored PNG/PICTURE_423.png,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,item09,5,1,"1,4,5,8,9",object5,9,colored PNG/PICTURE_285.png,,,,,,,colored PNG/PICTURE_78.png,,,colored PNG/PICTURE_695.png,colored PNG/PICTURE_264.png,,,colored PNG/PICTURE_353.png,colored PNG/PICTURE_285.png,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10,item_10,4,2,"2,3","2,3,6,7","3,6",,colored PNG/PICTURE_672.png,colored PNG/PICTURE_3.png,,,,,,colored PNG/PICTURE_360.png,colored PNG/PICTURE_672.png,,,colored PNG/PICTURE_3.png,colored PNG/PICTURE_585.png,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,item_11,4,2,"2,3","2,3,6,7","2,6",,colored PNG/PICTURE_309.png,colored PNG/PICTURE_190.png,,,,,,colored PNG/PICTURE_190.png,colored PNG/PICTURE_585.png,,,colored PNG/PICTURE_309.png,colored PNG/PICTURE_3.png,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,item_12,4,2,"2,3","2,3,6,7","6,7",,colored PNG/PICTURE_585.png,colored PNG/PICTURE_360.png,,,,,,colored PNG/PICTURE_672.png,colored PNG/PICTURE_309.png,,,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13,item_13,4,2,"2,3","2,3,6,7","3,6",,colored PNG/PICTURE_585.png,colored PNG/PICTURE_190.png,,,,,,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,,,colored PNG/PICTURE_190.png,colored PNG/PICTURE_672.png,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,item_14,5,2,"2,3","1,4,5,8,9","8,9",,colored PNG/PICTURE_3.png,colored PNG/PICTURE_360.png,,,,,colored PNG/PICTURE_309.png,,,colored PNG/PICTURE_585.png,colored PNG/PICTURE_190.png,,,colored PNG/PICTURE_360.png,colored PNG/PICTURE_3.png,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
15,item_15,5,2,"2,3","1,4,5,8,9","1,8",,colored PNG/PICTURE_672.png,colored PNG/PICTURE_190.png,,,,,colored PNG/PICTURE_672.png,,,colored PNG/PICTURE_360.png,colored PNG/PICTURE_309.png,,,colored PNG/PICTURE_190.png,colored PNG/PICTURE_3.png,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
16,item_16,6,2,"2,3","2,3,6,7,10,11","6,7",,colored PNG/PICTURE_309.png,colored PNG/PICTURE_3.png,,,,,,colored PNG/PICTURE_190.png,colored PNG/PICTURE_672.png,,,colored PNG/PICTURE_3.png,colored PNG/PICTURE_309.png,,,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,item_17,6,2,"2,3","2,3,6,7,10,11","3,6",,colored PNG/PICTURE_672.png,colored PNG/PICTURE_585.png,,,,,,colored PNG/PICTURE_309.png,colored PNG/PICTURE_672.png,,,colored PNG/PICTURE_585.png,colored PNG/PICTURE_190.png,,,colored PNG/PICTURE_3.png,colored PNG/PICTURE_360.png,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,item_18,6,2,"2,3","2,3,6,7,10,11","7,10",,colored PNG/PICTURE_309.png,colored PNG/PICTURE_360.png,,,,,,colored PNG/PICTURE_672.png,colored PNG/PICTURE_190.png,,,colored PNG/PICTURE_3.png,colored PNG/PICTURE_309.png,,,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
19,item_19,5,3,"1,4,5","1,4,5,8,9","1,8,9",colored PNG/PICTURE_90.png,,,colored PNG/PICTURE_100.png,colored PNG/PICTURE_430.png,,,colored PNG/PICTURE_100.png,,,colored PNG/PICTURE_448.png,colored PNG/PICTURE_1.png,,,colored PNG/PICTURE_430.png,colored PNG/PICTURE_90.png,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
