"","Enter_Participant_ID","date","psychopyVersion","item","clicks","objects","target_pos","probe_obj","probe_p1","probe_p2","probe_p3","probe_p4","probe_p5","probe_p6","probe_p7","test_p1","test_p2","test_p3","test_p4","test_p5","test_p6","test_p7","test_p8","test_p9","test_p10","test_p11","test_p12","test_p13","test_p14","test_p15","test_p16","test_p17","test_p18","test_p19","test_p20","corr_p1","corr_p2","corr_p3","corr_p4","corr_p5","corr_p6","corr_p7","corr_p8","corr_p9","corr_p10","corr_p11","corr_p12","corr_p13","corr_p14","corr_p15","corr_p16","corr_p17","corr_p18","corr_p19","corr_p20","P1T_rectangle","P2T_rectangle","P3T_rectangle","P4T_rectangle","P5T_rectangle","P6T_rectangle","P7T_rectangle","P8T_rectangle","P9T_rectangle","P10T_rectangle","P11T_rectangle","P12T_rectangle","P13T_rectangle","P14T_rectangle","P15T_rectangle","P16T_rectangle","P17T_rectangle","P18T_rectangle","P19T_rectangle","P20T_rectangle","presented","start","end","rt","accuracy","totaltime"
"3","T9999","2024-01-09_09h45.38.523","2022.2.5","sample1","1",NA,"","","colored PNG/PICTURE_203.png","None","None","None","","","","None","colored PNG/PICTURE_203.png","colored PNG/PICTURE_508.png","None","None","None","","","","","","","","","","","","","","",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.85107762500411,7.54729600000428,1.69621837500017,1,62.7697752499953
"6","T9999","2024-01-09_09h45.38.523","2022.2.5","item01","1",2,"test_p3","p3","colored PNG/PICTURE_78.png","","","","","","","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_78.png","None","None","None","None","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14.4364490839653,16.7174340839847,2.28098500001943,0,62.7697752499953
"7","T9999","2024-01-09_09h45.38.523","2022.2.5","item02","1",2,"test_p2","p2","colored PNG/PICTURE_423.png","","","","","","","None","colored PNG/PICTURE_423.png","colored PNG/PICTURE_695.png","None","None","None","None","None","None","","","","","","","","","","","",0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21.1669102089945,23.006612333993,1.83970212499844,0,62.7697752499953
"8","T9999","2024-01-09_09h45.38.523","2022.2.5","item03","1",2,"test_p3","p3","colored PNG/PICTURE_264.png","","","","","","","None","colored PNG/PICTURE_285.png","colored PNG/PICTURE_264.png","None","None","None","None","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,26.8713044999749,28.5821397089749,1.71083520899992,0,62.7697752499953
"9","T9999","2024-01-09_09h45.38.523","2022.2.5","item04","1",3,"test_p4","p4","colored PNG/PICTURE_423.png","","","","","","","colored PNG/PICTURE_78.png","None","None","colored PNG/PICTURE_423.png","colored PNG/PICTURE_353.png","None","None","None","None","","","","","","","","","","","",0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32.5416075839894,34.8108210419887,2.26921345799929,0,62.7697752499953
"10","T9999","2024-01-09_09h45.38.523","2022.2.5","item05","1",3,"test_p5","p5","colored PNG/PICTURE_695.png","","","","","","","colored PNG/PICTURE_285.png","None","None","colored PNG/PICTURE_78.png","colored PNG/PICTURE_695.png","None","None","None","None","","","","","","","","","","","",0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,38.7844476670143,40.5337289589806,1.74928129196633,0,62.7697752499953
"11","T9999","2024-01-09_09h45.38.523","2022.2.5","item06","1",3,"test_p1","p1","colored PNG/PICTURE_353.png","","","","","","","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_423.png","None","None","None","None","","","","","","","","","","","",0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44.5434121249709,45.9148374170181,1.37142529204721,0,62.7697752499953
"12","T9999","2024-01-09_09h45.38.523","2022.2.5","item07","1",4,"test_p3","p3","colored PNG/PICTURE_285.png","","","","","","","None","colored PNG/PICTURE_264.png","colored PNG/PICTURE_285.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_695.png","None","None","","","","","","","","","","","",0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,49.8471724999836,51.4191476670094,1.57197516702581,0,62.7697752499953
"13","T9999","2024-01-09_09h45.38.523","2022.2.5","item08","1",4,"test_p2","p2","colored PNG/PICTURE_78.png","","","","","","","None","colored PNG/PICTURE_78.png","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_695.png","colored PNG/PICTURE_423.png","None","None","","","","","","","","","","","",0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,55.3774432499777,57.0865857920144,1.70914254203672,0,62.7697752499953
"14","T9999","2024-01-09_09h45.38.523","2022.2.5","item09","1",5,"test_p9","p9","colored PNG/PICTURE_285.png","","","","","","","colored PNG/PICTURE_78.png","None","None","colored PNG/PICTURE_695.png","colored PNG/PICTURE_264.png","None","None","colored PNG/PICTURE_353.png","colored PNG/PICTURE_285.png","","","","","","","","","","","",0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,61.0715075840126,62.7697752499953,1.69826766598271,0,62.7697752499953
