x,X,Enter_Participant_ID,date,psychopyVersion,item,clicks,objects,target_pos,probe_obj,probe_p1,probe_p2,probe_p3,probe_p4,probe_p5,probe_p6,probe_p7,test_p1,test_p2,test_p3,test_p4,test_p5,test_p6,test_p7,test_p8,test_p9,test_p10,test_p11,test_p12,test_p13,test_p14,test_p15,test_p16,test_p17,test_p18,test_p19,test_p20,corr_p1,corr_p2,corr_p3,corr_p4,corr_p5,corr_p6,corr_p7,corr_p8,corr_p9,corr_p10,corr_p11,corr_p12,corr_p13,corr_p14,corr_p15,corr_p16,corr_p17,corr_p18,corr_p19,corr_p20,P1T_rectangle,P2T_rectangle,P3T_rectangle,P4T_rectangle,P5T_rectangle,P6T_rectangle,P7T_rectangle,P8T_rectangle,P9T_rectangle,P10T_rectangle,P11T_rectangle,P12T_rectangle,P13T_rectangle,P14T_rectangle,P15T_rectangle,P16T_rectangle,P17T_rectangle,P18T_rectangle,P19T_rectangle,P20T_rectangle,presented,start,end,rt,accuracy,totaltime
1,3,T9999,2024-01-09_09h45.38.523,2022.2.5,sample1,1,NA,,,colored PNG/PICTURE_203.png,None,None,None,,,,None,colored PNG/PICTURE_203.png,colored PNG/PICTURE_508.png,None,None,None,,,,,,,,,,,,,,,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.851077625,7.547296,1.696218375,1,62.76977525
2,6,T9999,2024-01-09_09h45.38.523,2022.2.5,item01,1,2,test_p3,p3,colored PNG/PICTURE_78.png,,,,,,,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_78.png,None,None,None,None,None,None,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14.43644908,16.71743408,2.280985,0,62.76977525
3,7,T9999,2024-01-09_09h45.38.523,2022.2.5,item02,1,2,test_p2,p2,colored PNG/PICTURE_423.png,,,,,,,None,colored PNG/PICTURE_423.png,colored PNG/PICTURE_695.png,None,None,None,None,None,None,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21.16691021,23.00661233,1.839702125,0,62.76977525
4,8,T9999,2024-01-09_09h45.38.523,2022.2.5,item03,1,2,test_p3,p3,colored PNG/PICTURE_264.png,,,,,,,None,colored PNG/PICTURE_285.png,colored PNG/PICTURE_264.png,None,None,None,None,None,None,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,26.8713045,28.58213971,1.710835209,0,62.76977525
5,9,T9999,2024-01-09_09h45.38.523,2022.2.5,item04,1,3,test_p4,p4,colored PNG/PICTURE_423.png,,,,,,,colored PNG/PICTURE_78.png,None,None,colored PNG/PICTURE_423.png,colored PNG/PICTURE_353.png,None,None,None,None,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32.54160758,34.81082104,2.269213458,0,62.76977525
6,10,T9999,2024-01-09_09h45.38.523,2022.2.5,item05,1,3,test_p5,p5,colored PNG/PICTURE_695.png,,,,,,,colored PNG/PICTURE_285.png,None,None,colored PNG/PICTURE_78.png,colored PNG/PICTURE_695.png,None,None,None,None,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,38.78444767,40.53372896,1.749281292,0,62.76977525
7,11,T9999,2024-01-09_09h45.38.523,2022.2.5,item06,1,3,test_p1,p1,colored PNG/PICTURE_353.png,,,,,,,colored PNG/PICTURE_264.png,None,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_423.png,None,None,None,None,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44.54341212,45.91483742,1.371425292,0,62.76977525
8,12,T9999,2024-01-09_09h45.38.523,2022.2.5,item07,1,4,test_p3,p3,colored PNG/PICTURE_285.png,,,,,,,None,colored PNG/PICTURE_264.png,colored PNG/PICTURE_285.png,None,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_695.png,None,None,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,49.8471725,51.41914767,1.571975167,0,62.76977525
9,13,T9999,2024-01-09_09h45.38.523,2022.2.5,item08,1,4,test_p2,p2,colored PNG/PICTURE_78.png,,,,,,,None,colored PNG/PICTURE_78.png,colored PNG/PICTURE_264.png,None,None,colored PNG/PICTURE_695.png,colored PNG/PICTURE_423.png,None,None,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,55.37744325,57.08658579,1.709142542,0,62.76977525
10,14,T9999,2024-01-09_09h45.38.523,2022.2.5,item09,1,5,test_p9,p9,colored PNG/PICTURE_285.png,,,,,,,colored PNG/PICTURE_78.png,None,None,colored PNG/PICTURE_695.png,colored PNG/PICTURE_264.png,None,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_285.png,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,61.07150758,62.76977525,1.698267666,0,62.76977525
