list,uni_lemma,png,Cantonese,Croatian,Czech,Danish,Dutch,English (American),English (Australian),English (British),French (French),French (Quebecois),German,Hebrew,Hungarian,Italian,Kigiriama,Korean,Latvian,Mandarin (Beijing),Mandarin (Taiwanese),Norwegian,Persian,Portuguese (European),Russian,Slovak,Spanish (Argentinian),Spanish (European),Spanish (Mexican),Turkish,N,prop,sd,se,ci
1,LIZARD,PICTURE_252 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.43,NA,NA,NA
2,PINEAPPLE,PICTURE_442 2.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0.466666667,0.085049005,0.049103066,0.211273442
3,LAKE,PICTURE_86 2.png/PICTURE_113 2.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,0.5225,0.294660822,0.147330411,0.468871122
4,DINOSAUR,PICTURE_293 2.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,5,0.624,0.139570771,0.062417946,0.173300001
39,ALLIGATOR,PICTURE_189 2.png,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,6,0.681666667,0.097860445,0.039951359,0.102698239
6,LEMON,PICTURE_129 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,6,0.483333333,0.131097928,0.053520505,0.137578838
7,WALL,PICTURE_227 2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,6,0.721666667,0.151184214,0.061720697,0.158658103
34,ANT,PICTURE_585 2.png,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,25,0.7248,0.103526164,0.020705233,0.0427335
9,MOUNTAIN,PICTURE_407 2.png,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,9,0.548888889,0.192317735,0.064105912,0.147828497
10,AMBULANCE,PICTURE_649 2.png,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,12,0.538333333,0.140054102,0.040430137,0.088986131
12,BANANA,PICTURE_69 2.png,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,26,0.928461538,0.071425055,0.014007606,0.028849204
17,BED,PICTURE_268 2.png,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,0.886923077,0.102597046,0.020120936,0.041439844
13,CROCODILE,PICTURE_330 2.png,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,19,0.69,0.152825245,0.035060516,0.07365941
36,BEE,PICTURE_672 2.png,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,23,0.705217391,0.162644888,0.033913804,0.070332924
42,BELT,PICTURE_165 2.png,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,17,0.491176471,0.136468053,0.033098364,0.070165398
27,BICYCLE,PICTURE_23 2.png,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,0.834814815,0.119304728,0.022960206,0.047195379
22,BIRD,PICTURE_430 2.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,0.860357143,0.134893158,0.025492411,0.052306106
33,BOX,PICTURE_508 2.png,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,26,0.728461538,0.153328205,0.030070135,0.061930602
