downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,16,0
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,17,0
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,18,0.03
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,19,0.02
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,20,0.02
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,21,0.06
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,22,0.04
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,23,0.01
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,24,0.12
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,25,0.11
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,26,0.16
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,27,0.11
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,28,0.18
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,29,0.35
2023-09-04,Cantonese,produces,AMBULANCE,救傷車,30,0.49
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,11,0
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,12,0
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,13,0
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,14,0
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,15,0
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,16,0
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,17,0
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,19,0
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,20,0.11
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,21,0.25
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,22,0
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,23,0.14
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,24,0.36
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,25,0.33
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,26,0.38
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,27,0.56
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,28,0.6
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,29,0.55
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,30,0.54
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,31,0.51
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,32,0.72
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,33,0.71
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,34,0.74
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,35,0.61
2023-09-04,Hebrew,produces,AMBULANCE,אמבולנס,36,1
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,12,0
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,13,0
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,14,0
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,15,0.02
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,16,0
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,17,0.02
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,18,0.02
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,19,0.06
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,20,0.11
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,21,0.18
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,22,0.19
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,23,0.31
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,24,0.32
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,25,0.38
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,26,0.45
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,27,0.48
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,28,0.62
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,29,0.64
2023-09-04,Mandarin (Beijing),produces,AMBULANCE,救护车,30,0.65
2023-09-04,Slovak,produces,AMBULANCE,sanitka,17,0.11
2023-09-04,Slovak,produces,AMBULANCE,sanitka,18,0.22
2023-09-04,Slovak,produces,AMBULANCE,sanitka,19,0.14
2023-09-04,Slovak,produces,AMBULANCE,sanitka,20,0.35
2023-09-04,Slovak,produces,AMBULANCE,sanitka,21,0.27
2023-09-04,Slovak,produces,AMBULANCE,sanitka,22,0.36
2023-09-04,Slovak,produces,AMBULANCE,sanitka,23,0.46
2023-09-04,Slovak,produces,AMBULANCE,sanitka,24,0.64
2023-09-04,Slovak,produces,AMBULANCE,sanitka,25,0.54
2023-09-04,Slovak,produces,AMBULANCE,sanitka,26,0.64
2023-09-04,Slovak,produces,AMBULANCE,sanitka,27,0.68
2023-09-04,Slovak,produces,AMBULANCE,sanitka,28,0.66
2023-09-04,Slovak,produces,AMBULANCE,sanitka,29,0.71
2023-09-04,Slovak,produces,AMBULANCE,sanitka,30,0.78
2023-09-04,Slovak,produces,AMBULANCE,sanitka,31,0.79
2023-09-04,Slovak,produces,AMBULANCE,sanitka,32,0.68
2023-09-04,Slovak,produces,AMBULANCE,sanitka,33,0.77
2023-09-04,Slovak,produces,AMBULANCE,sanitka,34,0.89
2023-09-04,Slovak,produces,AMBULANCE,sanitka,35,0.78
2023-09-04,Slovak,produces,AMBULANCE,sanitka,36,0.88
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,16,0
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,17,0.07
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,18,0.02
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,19,0.04
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,20,0.06
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,21,0.06
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,22,0.06
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,23,0.1
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,24,0.16
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,25,0.23
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,26,0.2
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,27,0.26
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,28,0.36
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,29,0.34
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,30,0.45
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,31,0.39
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,32,0.48
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,33,0.53
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,34,0.57
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,35,0.6
2023-09-04,Turkish,produces,AMBULANCE,Ambulans,36,0.7
2023-09-04,Czech,produces,AMBULANCE,sanitka,16,0
2023-09-04,Czech,produces,AMBULANCE,sanitka,17,0.03
2023-09-04,Czech,produces,AMBULANCE,sanitka,18,0.02
2023-09-04,Czech,produces,AMBULANCE,sanitka,19,0
2023-09-04,Czech,produces,AMBULANCE,sanitka,20,0.04
2023-09-04,Czech,produces,AMBULANCE,sanitka,21,0.06
2023-09-04,Czech,produces,AMBULANCE,sanitka,22,0.14
2023-09-04,Czech,produces,AMBULANCE,sanitka,23,0.22
2023-09-04,Czech,produces,AMBULANCE,sanitka,24,0.17
2023-09-04,Czech,produces,AMBULANCE,sanitka,25,0.17
2023-09-04,Czech,produces,AMBULANCE,sanitka,26,0.45
