downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,ANT,(螞)蟻,16,0.02
2023-09-04,Cantonese,produces,ANT,(螞)蟻,17,0.07
2023-09-04,Cantonese,produces,ANT,(螞)蟻,18,0.06
2023-09-04,Cantonese,produces,ANT,(螞)蟻,19,0.11
2023-09-04,Cantonese,produces,ANT,(螞)蟻,20,0.11
2023-09-04,Cantonese,produces,ANT,(螞)蟻,21,0.16
2023-09-04,Cantonese,produces,ANT,(螞)蟻,22,0.26
2023-09-04,Cantonese,produces,ANT,(螞)蟻,23,0.26
2023-09-04,Cantonese,produces,ANT,(螞)蟻,24,0.32
2023-09-04,Cantonese,produces,ANT,(螞)蟻,25,0.4
2023-09-04,Cantonese,produces,ANT,(螞)蟻,26,0.44
2023-09-04,Cantonese,produces,ANT,(螞)蟻,27,0.69
2023-09-04,Cantonese,produces,ANT,(螞)蟻,28,0.56
2023-09-04,Cantonese,produces,ANT,(螞)蟻,29,0.64
2023-09-04,Cantonese,produces,ANT,(螞)蟻,30,0.7
2023-09-04,Croatian,produces,ANT,mrav,16,0
2023-09-04,Croatian,produces,ANT,mrav,17,0.08
2023-09-04,Croatian,produces,ANT,mrav,18,0.32
2023-09-04,Croatian,produces,ANT,mrav,19,0.1
2023-09-04,Croatian,produces,ANT,mrav,20,0.27
2023-09-04,Croatian,produces,ANT,mrav,21,0.24
2023-09-04,Croatian,produces,ANT,mrav,22,0.42
2023-09-04,Croatian,produces,ANT,mrav,23,0.42
2023-09-04,Croatian,produces,ANT,mrav,24,0.53
2023-09-04,Croatian,produces,ANT,mrav,25,0.4
2023-09-04,Croatian,produces,ANT,mrav,26,0.59
2023-09-04,Croatian,produces,ANT,mrav,27,0.8
2023-09-04,Croatian,produces,ANT,mrav,28,0.67
2023-09-04,Croatian,produces,ANT,mrav,29,0.54
2023-09-04,Croatian,produces,ANT,mrav,30,0.75
2023-09-04,Danish,produces,ANT,myre,16,0.02
2023-09-04,Danish,produces,ANT,myre,17,0.03
2023-09-04,Danish,produces,ANT,myre,18,0.07
2023-09-04,Danish,produces,ANT,myre,19,0.07
2023-09-04,Danish,produces,ANT,myre,20,0.18
2023-09-04,Danish,produces,ANT,myre,21,0.21
2023-09-04,Danish,produces,ANT,myre,22,0.3
2023-09-04,Danish,produces,ANT,myre,23,0.37
2023-09-04,Danish,produces,ANT,myre,24,0.5
2023-09-04,Danish,produces,ANT,myre,25,0.55
2023-09-04,Danish,produces,ANT,myre,26,0.62
2023-09-04,Danish,produces,ANT,myre,27,0.65
2023-09-04,Danish,produces,ANT,myre,28,0.77
2023-09-04,Danish,produces,ANT,myre,29,0.77
2023-09-04,Danish,produces,ANT,myre,30,0.8
2023-09-04,Danish,produces,ANT,myre,31,0.78
2023-09-04,Danish,produces,ANT,myre,32,0.83
2023-09-04,Danish,produces,ANT,myre,33,0.83
2023-09-04,Danish,produces,ANT,myre,34,0.82
2023-09-04,Danish,produces,ANT,myre,35,0.9
2023-09-04,Danish,produces,ANT,myre,36,0.9
2023-09-04,English (American),produces,ANT,ant,16,0.04
2023-09-04,English (American),produces,ANT,ant,17,0.06
2023-09-04,English (American),produces,ANT,ant,18,0.1
2023-09-04,English (American),produces,ANT,ant,19,0.18
2023-09-04,English (American),produces,ANT,ant,20,0.21
2023-09-04,English (American),produces,ANT,ant,21,0.23
2023-09-04,English (American),produces,ANT,ant,22,0.26
2023-09-04,English (American),produces,ANT,ant,23,0.37
2023-09-04,English (American),produces,ANT,ant,24,0.43
2023-09-04,English (American),produces,ANT,ant,25,0.49
2023-09-04,English (American),produces,ANT,ant,26,0.51
2023-09-04,English (American),produces,ANT,ant,27,0.54
2023-09-04,English (American),produces,ANT,ant,28,0.74
2023-09-04,English (American),produces,ANT,ant,29,0.63
2023-09-04,English (American),produces,ANT,ant,30,0.66
2023-09-04,French (Quebecois),produces,ANT,fourmi,16,0
2023-09-04,French (Quebecois),produces,ANT,fourmi,17,0.08
2023-09-04,French (Quebecois),produces,ANT,fourmi,18,0.07
2023-09-04,French (Quebecois),produces,ANT,fourmi,19,0.22
2023-09-04,French (Quebecois),produces,ANT,fourmi,20,0.16
2023-09-04,French (Quebecois),produces,ANT,fourmi,21,0.36
2023-09-04,French (Quebecois),produces,ANT,fourmi,22,0.38
2023-09-04,French (Quebecois),produces,ANT,fourmi,23,0.39
2023-09-04,French (Quebecois),produces,ANT,fourmi,24,0.41
2023-09-04,French (Quebecois),produces,ANT,fourmi,25,0.54
2023-09-04,French (Quebecois),produces,ANT,fourmi,26,0.66
2023-09-04,French (Quebecois),produces,ANT,fourmi,27,0.75
2023-09-04,French (Quebecois),produces,ANT,fourmi,28,0.81
2023-09-04,French (Quebecois),produces,ANT,fourmi,29,0.71
2023-09-04,French (Quebecois),produces,ANT,fourmi,30,0.73
2023-09-04,German,produces,ANT,Ameise,18,0.06
2023-09-04,German,produces,ANT,Ameise,19,0.13
2023-09-04,German,produces,ANT,Ameise,20,0.12
2023-09-04,German,produces,ANT,Ameise,21,0.22
2023-09-04,German,produces,ANT,Ameise,22,0.22
2023-09-04,German,produces,ANT,Ameise,23,0.31
2023-09-04,German,produces,ANT,Ameise,24,0.37
2023-09-04,German,produces,ANT,Ameise,25,0.49
2023-09-04,German,produces,ANT,Ameise,26,0.52
2023-09-04,German,produces,ANT,Ameise,27,0.51
2023-09-04,German,produces,ANT,Ameise,28,0.55
2023-09-04,German,produces,ANT,Ameise,29,0.65
2023-09-04,German,produces,ANT,Ameise,30,0.75
2023-09-04,Hebrew,produces,ANT,נמלה,25,0.61
2023-09-04,Hebrew,produces,ANT,נמלה,26,0.71
2023-09-04,Hebrew,produces,ANT,נמלה,27,0.68
2023-09-04,Hebrew,produces,ANT,נמלה,28,0.86
2023-09-04,Hebrew,produces,ANT,נמלה,29,0.74
2023-09-04,Hebrew,produces,ANT,נמלה,30,0.79
2023-09-04,Hebrew,produces,ANT,נמלה,31,0.91
2023-09-04,Hebrew,produces,ANT,נמלה,32,0.83
2023-09-04,Hebrew,produces,ANT,נמלה,33,0.81
