downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,BANANA,(香)蕉,16,0.11
2023-09-04,Cantonese,produces,BANANA,(香)蕉,17,0.18
2023-09-04,Cantonese,produces,BANANA,(香)蕉,18,0.28
2023-09-04,Cantonese,produces,BANANA,(香)蕉,19,0.32
2023-09-04,Cantonese,produces,BANANA,(香)蕉,20,0.51
2023-09-04,Cantonese,produces,BANANA,(香)蕉,21,0.58
2023-09-04,Cantonese,produces,BANANA,(香)蕉,22,0.51
2023-09-04,Cantonese,produces,BANANA,(香)蕉,23,0.54
2023-09-04,Cantonese,produces,BANANA,(香)蕉,24,0.74
2023-09-04,Cantonese,produces,BANANA,(香)蕉,25,0.72
2023-09-04,Cantonese,produces,BANANA,(香)蕉,26,0.69
2023-09-04,Cantonese,produces,BANANA,(香)蕉,27,0.87
2023-09-04,Cantonese,produces,BANANA,(香)蕉,28,0.89
2023-09-04,Cantonese,produces,BANANA,(香)蕉,29,0.92
2023-09-04,Cantonese,produces,BANANA,(香)蕉,30,0.93
2023-09-04,Croatian,produces,BANANA,banana,8,0
2023-09-04,Croatian,produces,BANANA,banana,9,0
2023-09-04,Croatian,produces,BANANA,banana,10,0
2023-09-04,Croatian,produces,BANANA,banana,11,0.04
2023-09-04,Croatian,produces,BANANA,banana,12,0.06
2023-09-04,Croatian,produces,BANANA,banana,13,0.06
2023-09-04,Croatian,produces,BANANA,banana,14,0.18
2023-09-04,Croatian,produces,BANANA,banana,15,0.25
2023-09-04,Croatian,produces,BANANA,banana,16,0.34
2023-09-04,Croatian,produces,BANANA,banana,17,0.48
2023-09-04,Croatian,produces,BANANA,banana,18,0.55
2023-09-04,Croatian,produces,BANANA,banana,19,0.52
2023-09-04,Croatian,produces,BANANA,banana,20,0.58
2023-09-04,Croatian,produces,BANANA,banana,21,0.59
2023-09-04,Croatian,produces,BANANA,banana,22,0.83
2023-09-04,Croatian,produces,BANANA,banana,23,0.92
2023-09-04,Croatian,produces,BANANA,banana,24,0.87
2023-09-04,Croatian,produces,BANANA,banana,25,0.97
2023-09-04,Croatian,produces,BANANA,banana,26,0.93
2023-09-04,Croatian,produces,BANANA,banana,27,0.96
2023-09-04,Croatian,produces,BANANA,banana,28,1
2023-09-04,Croatian,produces,BANANA,banana,29,0.93
2023-09-04,Croatian,produces,BANANA,banana,30,1
2023-09-04,Danish,produces,BANANA,banan,8,0
2023-09-04,Danish,produces,BANANA,banan,9,0.01
2023-09-04,Danish,produces,BANANA,banan,10,0.01
2023-09-04,Danish,produces,BANANA,banan,11,0.01
2023-09-04,Danish,produces,BANANA,banan,12,0.03
2023-09-04,Danish,produces,BANANA,banan,13,0.05
2023-09-04,Danish,produces,BANANA,banan,14,0.08
2023-09-04,Danish,produces,BANANA,banan,15,0.09
2023-09-04,Danish,produces,BANANA,banan,16,0.17
2023-09-04,Danish,produces,BANANA,banan,17,0.27
2023-09-04,Danish,produces,BANANA,banan,18,0.32
2023-09-04,Danish,produces,BANANA,banan,19,0.42
2023-09-04,Danish,produces,BANANA,banan,20,0.54
2023-09-04,Danish,produces,BANANA,banan,21,0.56
2023-09-04,Danish,produces,BANANA,banan,22,0.73
2023-09-04,Danish,produces,BANANA,banan,23,0.73
2023-09-04,Danish,produces,BANANA,banan,24,0.83
2023-09-04,Danish,produces,BANANA,banan,25,0.87
2023-09-04,Danish,produces,BANANA,banan,26,0.92
2023-09-04,Danish,produces,BANANA,banan,27,0.94
2023-09-04,Danish,produces,BANANA,banan,28,0.94
2023-09-04,Danish,produces,BANANA,banan,29,0.94
2023-09-04,Danish,produces,BANANA,banan,30,0.95
2023-09-04,Danish,produces,BANANA,banan,31,0.97
2023-09-04,Danish,produces,BANANA,banan,32,0.98
2023-09-04,Danish,produces,BANANA,banan,33,0.99
2023-09-04,Danish,produces,BANANA,banan,34,0.97
2023-09-04,Danish,produces,BANANA,banan,35,0.98
2023-09-04,Danish,produces,BANANA,banan,36,0.99
2023-09-04,English (American),produces,BANANA,banana,8,0.02
2023-09-04,English (American),produces,BANANA,banana,9,0.02
2023-09-04,English (American),produces,BANANA,banana,10,0.04
2023-09-04,English (American),produces,BANANA,banana,11,0.09
2023-09-04,English (American),produces,BANANA,banana,12,0.13
2023-09-04,English (American),produces,BANANA,banana,13,0.17
2023-09-04,English (American),produces,BANANA,banana,14,0.23
2023-09-04,English (American),produces,BANANA,banana,15,0.29
2023-09-04,English (American),produces,BANANA,banana,16,0.5
2023-09-04,English (American),produces,BANANA,banana,17,0.52
2023-09-04,English (American),produces,BANANA,banana,18,0.63
2023-09-04,English (American),produces,BANANA,banana,19,0.68
2023-09-04,English (American),produces,BANANA,banana,20,0.73
2023-09-04,English (American),produces,BANANA,banana,21,0.75
2023-09-04,English (American),produces,BANANA,banana,22,0.8
2023-09-04,English (American),produces,BANANA,banana,23,0.85
2023-09-04,English (American),produces,BANANA,banana,24,0.88
2023-09-04,English (American),produces,BANANA,banana,25,0.91
2023-09-04,English (American),produces,BANANA,banana,26,0.9
2023-09-04,English (American),produces,BANANA,banana,27,0.91
2023-09-04,English (American),produces,BANANA,banana,28,0.96
2023-09-04,English (American),produces,BANANA,banana,29,0.94
2023-09-04,English (American),produces,BANANA,banana,30,0.96
2023-09-04,French (Quebecois),produces,BANANA,banane,8,0
2023-09-04,French (Quebecois),produces,BANANA,banane,9,0.02
2023-09-04,French (Quebecois),produces,BANANA,banane,10,0.05
2023-09-04,French (Quebecois),produces,BANANA,banane,11,0.07
2023-09-04,French (Quebecois),produces,BANANA,banane,12,0.07
2023-09-04,French (Quebecois),produces,BANANA,banane,13,0.14
2023-09-04,French (Quebecois),produces,BANANA,banane,14,0.13
2023-09-04,French (Quebecois),produces,BANANA,banane,15,0.23
2023-09-04,French (Quebecois),produces,BANANA,banane,16,0.4
2023-09-04,French (Quebecois),produces,BANANA,banane,17,0.56
2023-09-04,French (Quebecois),produces,BANANA,banane,18,0.52
2023-09-04,French (Quebecois),produces,BANANA,banane,19,0.59
2023-09-04,French (Quebecois),produces,BANANA,banane,20,0.58
2023-09-04,French (Quebecois),produces,BANANA,banane,21,0.84
2023-09-04,French (Quebecois),produces,BANANA,banane,22,0.79
2023-09-04,French (Quebecois),produces,BANANA,banane,23,0.91
2023-09-04,French (Quebecois),produces,BANANA,banane,24,0.95
2023-09-04,French (Quebecois),produces,BANANA,banane,25,0.89
2023-09-04,French (Quebecois),produces,BANANA,banane,26,0.93
2023-09-04,French (Quebecois),produces,BANANA,banane,27,0.97
2023-09-04,French (Quebecois),produces,BANANA,banane,28,0.98
2023-09-04,French (Quebecois),produces,BANANA,banane,29,0.98
2023-09-04,French (Quebecois),produces,BANANA,banane,30,0.96
2023-09-04,German,produces,BANANA,Banane,18,0.53
2023-09-04,German,produces,BANANA,Banane,19,0.65
2023-09-04,German,produces,BANANA,Banane,20,0.62
2023-09-04,German,produces,BANANA,Banane,21,0.68
2023-09-04,German,produces,BANANA,Banane,22,0.71
2023-09-04,German,produces,BANANA,Banane,23,0.8
2023-09-04,German,produces,BANANA,Banane,24,0.86
2023-09-04,German,produces,BANANA,Banane,25,0.87
2023-09-04,German,produces,BANANA,Banane,26,0.85
2023-09-04,German,produces,BANANA,Banane,27,0.87
2023-09-04,German,produces,BANANA,Banane,28,0.92
2023-09-04,German,produces,BANANA,Banane,29,0.97
2023-09-04,German,produces,BANANA,Banane,30,0.97
2023-09-04,Hebrew,produces,BANANA,בננה,11,0
2023-09-04,Hebrew,produces,BANANA,בננה,12,0.25
2023-09-04,Hebrew,produces,BANANA,בננה,13,0.25
2023-09-04,Hebrew,produces,BANANA,בננה,14,0
2023-09-04,Hebrew,produces,BANANA,בננה,15,0
2023-09-04,Hebrew,produces,BANANA,בננה,16,0.67
2023-09-04,Hebrew,produces,BANANA,בננה,17,1
2023-09-04,Hebrew,produces,BANANA,בננה,19,1
2023-09-04,Hebrew,produces,BANANA,בננה,20,0.89
2023-09-04,Hebrew,produces,BANANA,בננה,21,1
2023-09-04,Hebrew,produces,BANANA,בננה,22,1
2023-09-04,Hebrew,produces,BANANA,בננה,23,1
2023-09-04,Hebrew,produces,BANANA,בננה,24,0.91
2023-09-04,Hebrew,produces,BANANA,בננה,25,0.95
2023-09-04,Hebrew,produces,BANANA,בננה,26,0.95
2023-09-04,Hebrew,produces,BANANA,בננה,27,1
2023-09-04,Hebrew,produces,BANANA,בננה,28,1
2023-09-04,Hebrew,produces,BANANA,בננה,29,0.98
2023-09-04,Hebrew,produces,BANANA,בננה,30,1
2023-09-04,Hebrew,produces,BANANA,בננה,31,1
2023-09-04,Hebrew,produces,BANANA,בננה,32,1
2023-09-04,Hebrew,produces,BANANA,בננה,33,0.9
2023-09-04,Hebrew,produces,BANANA,בננה,34,0.96
2023-09-04,Hebrew,produces,BANANA,בננה,35,0.89
2023-09-04,Hebrew,produces,BANANA,בננה,36,1
2023-09-04,Italian,produces,BANANA,banana,7,0
2023-09-04,Italian,produces,BANANA,banana,8,0
2023-09-04,Italian,produces,BANANA,banana,9,0
2023-09-04,Italian,produces,BANANA,banana,10,0
2023-09-04,Italian,produces,BANANA,banana,11,0
2023-09-04,Italian,produces,BANANA,banana,12,0.01
2023-09-04,Italian,produces,BANANA,banana,13,0.06
2023-09-04,Italian,produces,BANANA,banana,14,0.1
2023-09-04,Italian,produces,BANANA,banana,15,0.1
2023-09-04,Italian,produces,BANANA,banana,16,0.16
2023-09-04,Italian,produces,BANANA,banana,17,0.31
2023-09-04,Italian,produces,BANANA,banana,18,0.4
2023-09-04,Italian,produces,BANANA,banana,19,0.47
2023-09-04,Italian,produces,BANANA,banana,20,0.51
2023-09-04,Italian,produces,BANANA,banana,21,0.69
2023-09-04,Italian,produces,BANANA,banana,22,0.66
2023-09-04,Italian,produces,BANANA,banana,23,0.73
2023-09-04,Italian,produces,BANANA,banana,24,0.82
2023-09-04,Italian,produces,BANANA,banana,25,0.87
2023-09-04,Italian,produces,BANANA,banana,26,0.8
2023-09-04,Italian,produces,BANANA,banana,27,0.95
2023-09-04,Italian,produces,BANANA,banana,28,0.93
2023-09-04,Italian,produces,BANANA,banana,29,0.95
2023-09-04,Italian,produces,BANANA,banana,30,0.97
2023-09-04,Italian,produces,BANANA,banana,31,0.89
2023-09-04,Italian,produces,BANANA,banana,32,0.96
2023-09-04,Italian,produces,BANANA,banana,33,0.94
2023-09-04,Italian,produces,BANANA,banana,34,1
2023-09-04,Italian,produces,BANANA,banana,35,1
2023-09-04,Italian,produces,BANANA,banana,36,0.95
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,12,0.04
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,13,0.04
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,14,0.02
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,15,0.02
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,16,0.15
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,17,0.31
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,18,0.4
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,19,0.52
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,20,0.58
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,21,0.7
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,22,0.78
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,23,0.82
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,24,0.78
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,25,0.88
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,26,0.92
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,27,0.93
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,28,0.94
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,29,0.97
2023-09-04,Mandarin (Beijing),produces,BANANA,香蕉,30,0.96
2023-09-04,Norwegian,produces,BANANA,banan,8,0.03
2023-09-04,Norwegian,produces,BANANA,banan,9,0.01
2023-09-04,Norwegian,produces,BANANA,banan,10,0.01
2023-09-04,Norwegian,produces,BANANA,banan,11,0.02
2023-09-04,Norwegian,produces,BANANA,banan,12,0.03
2023-09-04,Norwegian,produces,BANANA,banan,13,0.09
2023-09-04,Norwegian,produces,BANANA,banan,14,0.15
2023-09-04,Norwegian,produces,BANANA,banan,15,0.26
2023-09-04,Norwegian,produces,BANANA,banan,16,0.37
2023-09-04,Norwegian,produces,BANANA,banan,17,0.43
2023-09-04,Norwegian,produces,BANANA,banan,18,0.58
2023-09-04,Norwegian,produces,BANANA,banan,19,0.65
2023-09-04,Norwegian,produces,BANANA,banan,20,0.74
2023-09-04,Norwegian,produces,BANANA,banan,21,0.78
2023-09-04,Norwegian,produces,BANANA,banan,22,0.84
2023-09-04,Norwegian,produces,BANANA,banan,23,0.88
2023-09-04,Norwegian,produces,BANANA,banan,24,0.9
2023-09-04,Norwegian,produces,BANANA,banan,25,0.92
2023-09-04,Norwegian,produces,BANANA,banan,26,0.94
2023-09-04,Norwegian,produces,BANANA,banan,27,0.96
2023-09-04,Norwegian,produces,BANANA,banan,28,0.97
2023-09-04,Norwegian,produces,BANANA,banan,29,0.97
2023-09-04,Norwegian,produces,BANANA,banan,30,0.95
2023-09-04,Norwegian,produces,BANANA,banan,31,0.98
2023-09-04,Norwegian,produces,BANANA,banan,32,0.98
2023-09-04,Norwegian,produces,BANANA,banan,33,0.98
2023-09-04,Norwegian,produces,BANANA,banan,34,0.98
2023-09-04,Norwegian,produces,BANANA,banan,35,0.99
2023-09-04,Norwegian,produces,BANANA,banan,36,0.98
2023-09-04,Russian,produces,BANANA,банан,8,0
2023-09-04,Russian,produces,BANANA,банан,9,0
2023-09-04,Russian,produces,BANANA,банан,10,0.02
2023-09-04,Russian,produces,BANANA,банан,11,0
2023-09-04,Russian,produces,BANANA,банан,12,0.03
2023-09-04,Russian,produces,BANANA,банан,13,0.07
2023-09-04,Russian,produces,BANANA,банан,14,0.13
2023-09-04,Russian,produces,BANANA,банан,15,0.09
2023-09-04,Russian,produces,BANANA,банан,16,0.1
2023-09-04,Russian,produces,BANANA,банан,17,0.16
2023-09-04,Russian,produces,BANANA,банан,18,0.3
2023-09-04,Russian,produces,BANANA,банан,19,0.41
2023-09-04,Russian,produces,BANANA,банан,20,0.4
2023-09-04,Russian,produces,BANANA,банан,21,0.56
2023-09-04,Russian,produces,BANANA,банан,22,0.65
2023-09-04,Russian,produces,BANANA,банан,23,0.73
2023-09-04,Russian,produces,BANANA,банан,24,0.82
2023-09-04,Russian,produces,BANANA,банан,25,0.83
2023-09-04,Russian,produces,BANANA,банан,26,0.85
2023-09-04,Russian,produces,BANANA,банан,27,0.85
2023-09-04,Russian,produces,BANANA,банан,28,0.9
2023-09-04,Russian,produces,BANANA,банан,29,0.97
2023-09-04,Russian,produces,BANANA,банан,30,0.9
2023-09-04,Russian,produces,BANANA,банан,31,0.95
