downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,BED,床,16,0.02
2023-09-04,Cantonese,produces,BED,床,17,0.1
2023-09-04,Cantonese,produces,BED,床,18,0.16
2023-09-04,Cantonese,produces,BED,床,19,0.21
2023-09-04,Cantonese,produces,BED,床,20,0.31
2023-09-04,Cantonese,produces,BED,床,21,0.44
2023-09-04,Cantonese,produces,BED,床,22,0.44
2023-09-04,Cantonese,produces,BED,床,23,0.51
2023-09-04,Cantonese,produces,BED,床,24,0.59
2023-09-04,Cantonese,produces,BED,床,25,0.74
2023-09-04,Cantonese,produces,BED,床,26,0.72
2023-09-04,Cantonese,produces,BED,床,27,0.89
2023-09-04,Cantonese,produces,BED,床,28,0.92
2023-09-04,Cantonese,produces,BED,床,29,0.92
2023-09-04,Cantonese,produces,BED,床,30,0.91
2023-09-04,Croatian,produces,BED,krevet,8,0
2023-09-04,Croatian,produces,BED,krevet,9,0
2023-09-04,Croatian,produces,BED,krevet,10,0
2023-09-04,Croatian,produces,BED,krevet,11,0
2023-09-04,Croatian,produces,BED,krevet,12,0
2023-09-04,Croatian,produces,BED,krevet,13,0
2023-09-04,Croatian,produces,BED,krevet,14,0.04
2023-09-04,Croatian,produces,BED,krevet,15,0.04
2023-09-04,Croatian,produces,BED,krevet,16,0.26
2023-09-04,Croatian,produces,BED,krevet,17,0.2
2023-09-04,Croatian,produces,BED,krevet,18,0.32
2023-09-04,Croatian,produces,BED,krevet,19,0.19
2023-09-04,Croatian,produces,BED,krevet,20,0.46
2023-09-04,Croatian,produces,BED,krevet,21,0.45
2023-09-04,Croatian,produces,BED,krevet,22,0.67
2023-09-04,Croatian,produces,BED,krevet,23,0.62
2023-09-04,Croatian,produces,BED,krevet,24,0.77
2023-09-04,Croatian,produces,BED,krevet,25,0.87
2023-09-04,Croatian,produces,BED,krevet,26,0.83
2023-09-04,Croatian,produces,BED,krevet,27,1
2023-09-04,Croatian,produces,BED,krevet,28,1
2023-09-04,Croatian,produces,BED,krevet,29,1
2023-09-04,Croatian,produces,BED,krevet,30,0.93
2023-09-04,Danish,produces,BED,seng,8,0.01
2023-09-04,Danish,produces,BED,seng,9,0
2023-09-04,Danish,produces,BED,seng,10,0
2023-09-04,Danish,produces,BED,seng,11,0
2023-09-04,Danish,produces,BED,seng,12,0
2023-09-04,Danish,produces,BED,seng,13,0
2023-09-04,Danish,produces,BED,seng,14,0
2023-09-04,Danish,produces,BED,seng,15,0
2023-09-04,Danish,produces,BED,seng,16,0.03
2023-09-04,Danish,produces,BED,seng,17,0.07
2023-09-04,Danish,produces,BED,seng,18,0.13
2023-09-04,Danish,produces,BED,seng,19,0.17
2023-09-04,Danish,produces,BED,seng,20,0.33
2023-09-04,Danish,produces,BED,seng,21,0.41
2023-09-04,Danish,produces,BED,seng,22,0.57
2023-09-04,Danish,produces,BED,seng,23,0.67
2023-09-04,Danish,produces,BED,seng,24,0.75
2023-09-04,Danish,produces,BED,seng,25,0.79
2023-09-04,Danish,produces,BED,seng,26,0.89
2023-09-04,Danish,produces,BED,seng,27,0.9
2023-09-04,Danish,produces,BED,seng,28,0.91
2023-09-04,Danish,produces,BED,seng,29,0.91
2023-09-04,Danish,produces,BED,seng,30,0.95
2023-09-04,Danish,produces,BED,seng,31,0.96
2023-09-04,Danish,produces,BED,seng,32,0.98
2023-09-04,Danish,produces,BED,seng,33,0.98
2023-09-04,Danish,produces,BED,seng,34,1
2023-09-04,Danish,produces,BED,seng,35,0.98
2023-09-04,Danish,produces,BED,seng,36,0.98
2023-09-04,English (American),produces,BED,bed,8,0
2023-09-04,English (American),produces,BED,bed,9,0.03
2023-09-04,English (American),produces,BED,bed,10,0.02
2023-09-04,English (American),produces,BED,bed,11,0.03
2023-09-04,English (American),produces,BED,bed,12,0.03
2023-09-04,English (American),produces,BED,bed,13,0.05
2023-09-04,English (American),produces,BED,bed,14,0.04
