downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,BEE,蜜蜂,16,0
2023-09-04,Cantonese,produces,BEE,蜜蜂,17,0.02
2023-09-04,Cantonese,produces,BEE,蜜蜂,18,0.01
2023-09-04,Cantonese,produces,BEE,蜜蜂,19,0.02
2023-09-04,Cantonese,produces,BEE,蜜蜂,20,0.16
2023-09-04,Cantonese,produces,BEE,蜜蜂,21,0.13
2023-09-04,Cantonese,produces,BEE,蜜蜂,22,0.16
2023-09-04,Cantonese,produces,BEE,蜜蜂,23,0.15
2023-09-04,Cantonese,produces,BEE,蜜蜂,24,0.19
2023-09-04,Cantonese,produces,BEE,蜜蜂,25,0.31
2023-09-04,Cantonese,produces,BEE,蜜蜂,26,0.18
2023-09-04,Cantonese,produces,BEE,蜜蜂,27,0.39
2023-09-04,Cantonese,produces,BEE,蜜蜂,28,0.35
2023-09-04,Cantonese,produces,BEE,蜜蜂,29,0.47
2023-09-04,Cantonese,produces,BEE,蜜蜂,30,0.63
2023-09-04,Croatian,produces,BEE,pčela,8,0
2023-09-04,Croatian,produces,BEE,pčela,9,0
2023-09-04,Croatian,produces,BEE,pčela,10,0
2023-09-04,Croatian,produces,BEE,pčela,11,0
2023-09-04,Croatian,produces,BEE,pčela,12,0
2023-09-04,Croatian,produces,BEE,pčela,13,0
2023-09-04,Croatian,produces,BEE,pčela,14,0.07
2023-09-04,Croatian,produces,BEE,pčela,15,0.04
2023-09-04,Croatian,produces,BEE,pčela,16,0.02
2023-09-04,Croatian,produces,BEE,pčela,17,0
2023-09-04,Croatian,produces,BEE,pčela,18,0.05
2023-09-04,Croatian,produces,BEE,pčela,19,0.1
2023-09-04,Croatian,produces,BEE,pčela,20,0.08
2023-09-04,Croatian,produces,BEE,pčela,21,0.07
2023-09-04,Croatian,produces,BEE,pčela,22,0.25
2023-09-04,Croatian,produces,BEE,pčela,23,0.23
2023-09-04,Croatian,produces,BEE,pčela,24,0.3
2023-09-04,Croatian,produces,BEE,pčela,25,0.3
2023-09-04,Croatian,produces,BEE,pčela,26,0.41
2023-09-04,Croatian,produces,BEE,pčela,27,0.36
2023-09-04,Croatian,produces,BEE,pčela,28,0.48
2023-09-04,Croatian,produces,BEE,pčela,29,0.5
2023-09-04,Croatian,produces,BEE,pčela,30,0.61
2023-09-04,Danish,produces,BEE,bi,8,0
2023-09-04,Danish,produces,BEE,bi,9,0
2023-09-04,Danish,produces,BEE,bi,10,0
2023-09-04,Danish,produces,BEE,bi,11,0
2023-09-04,Danish,produces,BEE,bi,12,0.01
2023-09-04,Danish,produces,BEE,bi,13,0.01
2023-09-04,Danish,produces,BEE,bi,14,0.01
2023-09-04,Danish,produces,BEE,bi,15,0.01
2023-09-04,Danish,produces,BEE,bi,16,0.03
2023-09-04,Danish,produces,BEE,bi,17,0.09
2023-09-04,Danish,produces,BEE,bi,18,0.13
2023-09-04,Danish,produces,BEE,bi,19,0.22
2023-09-04,Danish,produces,BEE,bi,20,0.25
2023-09-04,Danish,produces,BEE,bi,21,0.36
2023-09-04,Danish,produces,BEE,bi,22,0.47
2023-09-04,Danish,produces,BEE,bi,23,0.46
2023-09-04,Danish,produces,BEE,bi,24,0.66
2023-09-04,Danish,produces,BEE,bi,25,0.66
2023-09-04,Danish,produces,BEE,bi,26,0.72
2023-09-04,Danish,produces,BEE,bi,27,0.74
2023-09-04,Danish,produces,BEE,bi,28,0.71
2023-09-04,Danish,produces,BEE,bi,29,0.75
2023-09-04,Danish,produces,BEE,bi,30,0.82
2023-09-04,Danish,produces,BEE,bi,31,0.85
2023-09-04,Danish,produces,BEE,bi,32,0.85
2023-09-04,Danish,produces,BEE,bi,33,0.9
2023-09-04,Danish,produces,BEE,bi,34,0.87
2023-09-04,Danish,produces,BEE,bi,35,0.95
2023-09-04,Danish,produces,BEE,bi,36,0.96
2023-09-04,English (American),produces,BEE,bee,8,0.01
2023-09-04,English (American),produces,BEE,bee,9,0.01
2023-09-04,English (American),produces,BEE,bee,10,0.02
2023-09-04,English (American),produces,BEE,bee,11,0.03
2023-09-04,English (American),produces,BEE,bee,12,0.03
2023-09-04,English (American),produces,BEE,bee,13,0.05
2023-09-04,English (American),produces,BEE,bee,14,0.05
2023-09-04,English (American),produces,BEE,bee,15,0.08
