downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,BELT,皮帶,16,0
2023-09-04,Cantonese,produces,BELT,皮帶,17,0.02
2023-09-04,Cantonese,produces,BELT,皮帶,18,0.03
2023-09-04,Cantonese,produces,BELT,皮帶,19,0.02
2023-09-04,Cantonese,produces,BELT,皮帶,20,0.03
2023-09-04,Cantonese,produces,BELT,皮帶,21,0.03
2023-09-04,Cantonese,produces,BELT,皮帶,22,0.1
2023-09-04,Cantonese,produces,BELT,皮帶,23,0.14
2023-09-04,Cantonese,produces,BELT,皮帶,24,0.12
2023-09-04,Cantonese,produces,BELT,皮帶,25,0.28
2023-09-04,Cantonese,produces,BELT,皮帶,26,0.19
2023-09-04,Cantonese,produces,BELT,皮帶,27,0.34
2023-09-04,Cantonese,produces,BELT,皮帶,28,0.44
2023-09-04,Cantonese,produces,BELT,皮帶,29,0.44
2023-09-04,Cantonese,produces,BELT,皮帶,30,0.34
2023-09-04,Croatian,produces,BELT,pojas,16,0
2023-09-04,Croatian,produces,BELT,pojas,17,0
2023-09-04,Croatian,produces,BELT,pojas,18,0.05
2023-09-04,Croatian,produces,BELT,pojas,19,0.05
2023-09-04,Croatian,produces,BELT,pojas,20,0.04
2023-09-04,Croatian,produces,BELT,pojas,21,0.07
2023-09-04,Croatian,produces,BELT,pojas,22,0
2023-09-04,Croatian,produces,BELT,pojas,23,0.04
2023-09-04,Croatian,produces,BELT,pojas,24,0.07
2023-09-04,Croatian,produces,BELT,pojas,25,0.13
2023-09-04,Croatian,produces,BELT,pojas,26,0.21
2023-09-04,Croatian,produces,BELT,pojas,27,0.24
2023-09-04,Croatian,produces,BELT,pojas,28,0.33
2023-09-04,Croatian,produces,BELT,pojas,29,0.32
2023-09-04,Croatian,produces,BELT,pojas,30,0.39
2023-09-04,Danish,produces,BELT,bælte,16,0
2023-09-04,Danish,produces,BELT,bælte,17,0.01
2023-09-04,Danish,produces,BELT,bælte,18,0.01
2023-09-04,Danish,produces,BELT,bælte,19,0.02
2023-09-04,Danish,produces,BELT,bælte,20,0.07
2023-09-04,Danish,produces,BELT,bælte,21,0.06
2023-09-04,Danish,produces,BELT,bælte,22,0.06
2023-09-04,Danish,produces,BELT,bælte,23,0.12
2023-09-04,Danish,produces,BELT,bælte,24,0.17
2023-09-04,Danish,produces,BELT,bælte,25,0.19
2023-09-04,Danish,produces,BELT,bælte,26,0.21
2023-09-04,Danish,produces,BELT,bælte,27,0.28
2023-09-04,Danish,produces,BELT,bælte,28,0.27
2023-09-04,Danish,produces,BELT,bælte,29,0.4
2023-09-04,Danish,produces,BELT,bælte,30,0.39
2023-09-04,Danish,produces,BELT,bælte,31,0.43
2023-09-04,Danish,produces,BELT,bælte,32,0.55
2023-09-04,Danish,produces,BELT,bælte,33,0.56
2023-09-04,Danish,produces,BELT,bælte,34,0.61
2023-09-04,Danish,produces,BELT,bælte,35,0.72
2023-09-04,Danish,produces,BELT,bælte,36,0.67
2023-09-04,English (American),produces,BELT,belt,16,0.02
2023-09-04,English (American),produces,BELT,belt,17,0.05
2023-09-04,English (American),produces,BELT,belt,18,0.08
2023-09-04,English (American),produces,BELT,belt,19,0.14
2023-09-04,English (American),produces,BELT,belt,20,0.15
2023-09-04,English (American),produces,BELT,belt,21,0.17
2023-09-04,English (American),produces,BELT,belt,22,0.23
2023-09-04,English (American),produces,BELT,belt,23,0.24
2023-09-04,English (American),produces,BELT,belt,24,0.28
2023-09-04,English (American),produces,BELT,belt,25,0.37
2023-09-04,English (American),produces,BELT,belt,26,0.37
2023-09-04,English (American),produces,BELT,belt,27,0.42
2023-09-04,English (American),produces,BELT,belt,28,0.64
2023-09-04,English (American),produces,BELT,belt,29,0.49
2023-09-04,English (American),produces,BELT,belt,30,0.5
2023-09-04,French (Quebecois),produces,BELT,ceinture,16,0
2023-09-04,French (Quebecois),produces,BELT,ceinture,17,0.06
2023-09-04,French (Quebecois),produces,BELT,ceinture,18,0.04
2023-09-04,French (Quebecois),produces,BELT,ceinture,19,0.09
2023-09-04,French (Quebecois),produces,BELT,ceinture,20,0.06
2023-09-04,French (Quebecois),produces,BELT,ceinture,21,0.14
