downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,BICYCLE,單車,16,0.02
2023-09-04,Cantonese,produces,BICYCLE,單車,17,0.02
2023-09-04,Cantonese,produces,BICYCLE,單車,18,0.1
2023-09-04,Cantonese,produces,BICYCLE,單車,19,0.12
2023-09-04,Cantonese,produces,BICYCLE,單車,20,0.21
2023-09-04,Cantonese,produces,BICYCLE,單車,21,0.31
2023-09-04,Cantonese,produces,BICYCLE,單車,22,0.29
2023-09-04,Cantonese,produces,BICYCLE,單車,23,0.41
2023-09-04,Cantonese,produces,BICYCLE,單車,24,0.51
2023-09-04,Cantonese,produces,BICYCLE,單車,25,0.62
2023-09-04,Cantonese,produces,BICYCLE,單車,26,0.59
2023-09-04,Cantonese,produces,BICYCLE,單車,27,0.81
2023-09-04,Cantonese,produces,BICYCLE,單車,28,0.79
2023-09-04,Cantonese,produces,BICYCLE,單車,29,0.83
2023-09-04,Cantonese,produces,BICYCLE,單車,30,0.85
2023-09-04,Croatian,produces,BICYCLE,bicikl,8,0
2023-09-04,Croatian,produces,BICYCLE,bicikl,9,0
2023-09-04,Croatian,produces,BICYCLE,bicikl,10,0
2023-09-04,Croatian,produces,BICYCLE,bicikl,11,0
2023-09-04,Croatian,produces,BICYCLE,bicikl,12,0.03
2023-09-04,Croatian,produces,BICYCLE,bicikl,13,0.03
2023-09-04,Croatian,produces,BICYCLE,bicikl,14,0.07
2023-09-04,Croatian,produces,BICYCLE,bicikl,15,0
2023-09-04,Croatian,produces,BICYCLE,bicikl,16,0.11
2023-09-04,Croatian,produces,BICYCLE,bicikl,17,0.08
2023-09-04,Croatian,produces,BICYCLE,bicikl,18,0.18
2023-09-04,Croatian,produces,BICYCLE,bicikl,19,0.29
2023-09-04,Croatian,produces,BICYCLE,bicikl,20,0.46
2023-09-04,Croatian,produces,BICYCLE,bicikl,21,0.38
2023-09-04,Croatian,produces,BICYCLE,bicikl,22,0.38
2023-09-04,Croatian,produces,BICYCLE,bicikl,23,0.73
2023-09-04,Croatian,produces,BICYCLE,bicikl,24,0.73
2023-09-04,Croatian,produces,BICYCLE,bicikl,25,0.8
2023-09-04,Croatian,produces,BICYCLE,bicikl,26,0.72
2023-09-04,Croatian,produces,BICYCLE,bicikl,27,0.88
2023-09-04,Croatian,produces,BICYCLE,bicikl,28,0.86
2023-09-04,Croatian,produces,BICYCLE,bicikl,29,0.82
2023-09-04,Croatian,produces,BICYCLE,bicikl,30,0.86
2023-09-04,Danish,produces,BICYCLE,cykel,8,0
2023-09-04,Danish,produces,BICYCLE,cykel,9,0
2023-09-04,Danish,produces,BICYCLE,cykel,10,0
2023-09-04,Danish,produces,BICYCLE,cykel,11,0
2023-09-04,Danish,produces,BICYCLE,cykel,12,0.01
2023-09-04,Danish,produces,BICYCLE,cykel,13,0
2023-09-04,Danish,produces,BICYCLE,cykel,14,0.01
2023-09-04,Danish,produces,BICYCLE,cykel,15,0.02
2023-09-04,Danish,produces,BICYCLE,cykel,16,0.05
2023-09-04,Danish,produces,BICYCLE,cykel,17,0.11
2023-09-04,Danish,produces,BICYCLE,cykel,18,0.21
2023-09-04,Danish,produces,BICYCLE,cykel,19,0.25
2023-09-04,Danish,produces,BICYCLE,cykel,20,0.42
2023-09-04,Danish,produces,BICYCLE,cykel,21,0.48
2023-09-04,Danish,produces,BICYCLE,cykel,22,0.62
2023-09-04,Danish,produces,BICYCLE,cykel,23,0.7
2023-09-04,Danish,produces,BICYCLE,cykel,24,0.76
2023-09-04,Danish,produces,BICYCLE,cykel,25,0.82
2023-09-04,Danish,produces,BICYCLE,cykel,26,0.91
2023-09-04,Danish,produces,BICYCLE,cykel,27,0.94
2023-09-04,Danish,produces,BICYCLE,cykel,28,0.93
2023-09-04,Danish,produces,BICYCLE,cykel,29,0.91
2023-09-04,Danish,produces,BICYCLE,cykel,30,0.97
2023-09-04,Danish,produces,BICYCLE,cykel,31,0.94
2023-09-04,Danish,produces,BICYCLE,cykel,32,0.98
2023-09-04,Danish,produces,BICYCLE,cykel,33,0.98
2023-09-04,Danish,produces,BICYCLE,cykel,34,0.99
2023-09-04,Danish,produces,BICYCLE,cykel,35,0.98
2023-09-04,Danish,produces,BICYCLE,cykel,36,0.99
2023-09-04,English (American),produces,BICYCLE,bicycle,8,0.01
