downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,BIRD,雀,16,0.11
2023-09-04,Cantonese,produces,BIRD,雀,17,0.3
2023-09-04,Cantonese,produces,BIRD,雀,18,0.4
2023-09-04,Cantonese,produces,BIRD,雀,19,0.35
2023-09-04,Cantonese,produces,BIRD,雀,20,0.57
2023-09-04,Cantonese,produces,BIRD,雀,21,0.68
2023-09-04,Cantonese,produces,BIRD,雀,22,0.63
2023-09-04,Cantonese,produces,BIRD,雀,23,0.66
2023-09-04,Cantonese,produces,BIRD,雀,24,0.68
2023-09-04,Cantonese,produces,BIRD,雀,25,0.83
2023-09-04,Cantonese,produces,BIRD,雀,26,0.71
2023-09-04,Cantonese,produces,BIRD,雀,27,0.87
2023-09-04,Cantonese,produces,BIRD,雀,28,0.86
2023-09-04,Cantonese,produces,BIRD,雀,29,0.89
2023-09-04,Cantonese,produces,BIRD,雀,30,0.93
2023-09-04,Croatian,produces,BIRD,ptica,8,0
2023-09-04,Croatian,produces,BIRD,ptica,9,0
2023-09-04,Croatian,produces,BIRD,ptica,10,0.09
2023-09-04,Croatian,produces,BIRD,ptica,11,0
2023-09-04,Croatian,produces,BIRD,ptica,12,0.03
2023-09-04,Croatian,produces,BIRD,ptica,13,0.09
2023-09-04,Croatian,produces,BIRD,ptica,14,0.21
2023-09-04,Croatian,produces,BIRD,ptica,15,0.08
2023-09-04,Croatian,produces,BIRD,ptica,16,0.34
2023-09-04,Croatian,produces,BIRD,ptica,17,0.28
2023-09-04,Croatian,produces,BIRD,ptica,18,0.5
2023-09-04,Croatian,produces,BIRD,ptica,19,0.43
2023-09-04,Croatian,produces,BIRD,ptica,20,0.77
2023-09-04,Croatian,produces,BIRD,ptica,21,0.59
2023-09-04,Croatian,produces,BIRD,ptica,22,0.75
2023-09-04,Croatian,produces,BIRD,ptica,23,0.65
2023-09-04,Croatian,produces,BIRD,ptica,24,0.93
2023-09-04,Croatian,produces,BIRD,ptica,25,0.77
2023-09-04,Croatian,produces,BIRD,ptica,26,0.9
2023-09-04,Croatian,produces,BIRD,ptica,27,0.92
