downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,BOX,盒,16,0
2023-09-04,Cantonese,produces,BOX,盒,17,0
2023-09-04,Cantonese,produces,BOX,盒,18,0.01
2023-09-04,Cantonese,produces,BOX,盒,19,0.08
2023-09-04,Cantonese,produces,BOX,盒,20,0.1
2023-09-04,Cantonese,produces,BOX,盒,21,0.15
2023-09-04,Cantonese,produces,BOX,盒,22,0.24
2023-09-04,Cantonese,produces,BOX,盒,23,0.3
2023-09-04,Cantonese,produces,BOX,盒,24,0.38
2023-09-04,Cantonese,produces,BOX,盒,25,0.37
2023-09-04,Cantonese,produces,BOX,盒,26,0.47
2023-09-04,Cantonese,produces,BOX,盒,27,0.61
2023-09-04,Cantonese,produces,BOX,盒,28,0.65
2023-09-04,Cantonese,produces,BOX,盒,29,0.64
2023-09-04,Cantonese,produces,BOX,盒,30,0.65
2023-09-04,Croatian,produces,BOX,kutija,8,0
2023-09-04,Croatian,produces,BOX,kutija,9,0
2023-09-04,Croatian,produces,BOX,kutija,10,0
2023-09-04,Croatian,produces,BOX,kutija,11,0
2023-09-04,Croatian,produces,BOX,kutija,12,0
2023-09-04,Croatian,produces,BOX,kutija,13,0.03
2023-09-04,Croatian,produces,BOX,kutija,14,0.04
2023-09-04,Croatian,produces,BOX,kutija,15,0
2023-09-04,Croatian,produces,BOX,kutija,16,0.09
2023-09-04,Croatian,produces,BOX,kutija,17,0.08
2023-09-04,Croatian,produces,BOX,kutija,18,0.09
2023-09-04,Croatian,produces,BOX,kutija,19,0.05
2023-09-04,Croatian,produces,BOX,kutija,20,0.27
2023-09-04,Croatian,produces,BOX,kutija,21,0.21
2023-09-04,Croatian,produces,BOX,kutija,22,0.38
2023-09-04,Croatian,produces,BOX,kutija,23,0.38
2023-09-04,Croatian,produces,BOX,kutija,24,0.47
2023-09-04,Croatian,produces,BOX,kutija,25,0.6
2023-09-04,Croatian,produces,BOX,kutija,26,0.59
2023-09-04,Croatian,produces,BOX,kutija,27,0.84
2023-09-04,Croatian,produces,BOX,kutija,28,0.81
2023-09-04,Croatian,produces,BOX,kutija,29,0.71
2023-09-04,Croatian,produces,BOX,kutija,30,0.86
2023-09-04,Danish,produces,BOX,"kasse, æske",8,0
2023-09-04,Danish,produces,BOX,"kasse, æske",9,0
2023-09-04,Danish,produces,BOX,"kasse, æske",10,0
2023-09-04,Danish,produces,BOX,"kasse, æske",11,0
2023-09-04,Danish,produces,BOX,"kasse, æske",12,0
2023-09-04,Danish,produces,BOX,"kasse, æske",13,0
2023-09-04,Danish,produces,BOX,"kasse, æske",14,0
2023-09-04,Danish,produces,BOX,"kasse, æske",15,0
2023-09-04,Danish,produces,BOX,"kasse, æske",16,0.01
2023-09-04,Danish,produces,BOX,"kasse, æske",17,0.01
2023-09-04,Danish,produces,BOX,"kasse, æske",18,0.02
2023-09-04,Danish,produces,BOX,"kasse, æske",19,0.02
2023-09-04,Danish,produces,BOX,"kasse, æske",20,0.06
2023-09-04,Danish,produces,BOX,"æske, kasse",21,0.07
2023-09-04,Danish,produces,BOX,"æske, kasse",22,0.12
2023-09-04,Danish,produces,BOX,"æske, kasse",23,0.16
2023-09-04,Danish,produces,BOX,"æske, kasse",24,0.17
2023-09-04,Danish,produces,BOX,"æske, kasse",25,0.25
2023-09-04,Danish,produces,BOX,"æske, kasse",26,0.34
2023-09-04,Danish,produces,BOX,"æske, kasse",27,0.35
2023-09-04,Danish,produces,BOX,"æske, kasse",28,0.38
2023-09-04,Danish,produces,BOX,"æske, kasse",29,0.46
2023-09-04,Danish,produces,BOX,"æske, kasse",30,0.46
2023-09-04,Danish,produces,BOX,"æske, kasse",31,0.53
2023-09-04,Danish,produces,BOX,"æske, kasse",32,0.63
2023-09-04,Danish,produces,BOX,"æske, kasse",33,0.67
2023-09-04,Danish,produces,BOX,"æske, kasse",34,0.63
2023-09-04,Danish,produces,BOX,"æske, kasse",35,0.7
2023-09-04,Danish,produces,BOX,"æske, kasse",36,0.69
2023-09-04,English (American),produces,BOX,box,8,0.01
2023-09-04,English (American),produces,BOX,box,9,0.01
2023-09-04,English (American),produces,BOX,box,10,0.01
2023-09-04,English (American),produces,BOX,box,11,0.02
2023-09-04,English (American),produces,BOX,box,12,0.02
2023-09-04,English (American),produces,BOX,box,13,0.05
2023-09-04,English (American),produces,BOX,box,14,0.03
2023-09-04,English (American),produces,BOX,box,15,0.09
2023-09-04,English (American),produces,BOX,box,16,0.1
2023-09-04,English (American),produces,BOX,box,17,0.14
2023-09-04,English (American),produces,BOX,box,18,0.18
2023-09-04,English (American),produces,BOX,box,19,0.32
2023-09-04,English (American),produces,BOX,box,20,0.36
2023-09-04,English (American),produces,BOX,box,21,0.4
2023-09-04,English (American),produces,BOX,box,22,0.49
2023-09-04,English (American),produces,BOX,box,23,0.51
2023-09-04,English (American),produces,BOX,box,24,0.6
2023-09-04,English (American),produces,BOX,box,25,0.67
2023-09-04,English (American),produces,BOX,box,26,0.7
2023-09-04,English (American),produces,BOX,box,27,0.76
2023-09-04,English (American),produces,BOX,box,28,0.87
2023-09-04,English (American),produces,BOX,box,29,0.78
2023-09-04,English (American),produces,BOX,box,30,0.79
2023-09-04,French (Quebecois),produces,BOX,boîte,8,0
2023-09-04,French (Quebecois),produces,BOX,boîte,9,0
2023-09-04,French (Quebecois),produces,BOX,boîte,10,0
2023-09-04,French (Quebecois),produces,BOX,boîte,11,0
