downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,16,0.02
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,17,0
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,18,0.04
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,19,0.09
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,20,0.14
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,21,0.16
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,22,0.22
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,23,0.32
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,24,0.35
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,25,0.46
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,26,0.53
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,27,0.66
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,28,0.65
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,29,0.64
2023-09-04,Cantonese,produces,BUTTON,(衫)鈕/扣,30,0.71
2023-09-04,Croatian,produces,BUTTON,gumb,8,0
2023-09-04,Croatian,produces,BUTTON,gumb,9,0
2023-09-04,Croatian,produces,BUTTON,gumb,10,0
2023-09-04,Croatian,produces,BUTTON,gumb,11,0
2023-09-04,Croatian,produces,BUTTON,gumb,12,0
2023-09-04,Croatian,produces,BUTTON,gumb,13,0
2023-09-04,Croatian,produces,BUTTON,gumb,14,0
2023-09-04,Croatian,produces,BUTTON,gumb,15,0
2023-09-04,Croatian,produces,BUTTON,gumb,16,0.19
2023-09-04,Croatian,produces,BUTTON,gumb,17,0.04
2023-09-04,Croatian,produces,BUTTON,gumb,18,0.14
2023-09-04,Croatian,produces,BUTTON,gumb,19,0.38
2023-09-04,Croatian,produces,BUTTON,gumb,20,0.31
2023-09-04,Croatian,produces,BUTTON,gumb,21,0.34
2023-09-04,Croatian,produces,BUTTON,gumb,22,0.46
2023-09-04,Croatian,produces,BUTTON,gumb,23,0.46
2023-09-04,Croatian,produces,BUTTON,gumb,24,0.47
2023-09-04,Croatian,produces,BUTTON,gumb,25,0.5
2023-09-04,Croatian,produces,BUTTON,gumb,26,0.69
2023-09-04,Croatian,produces,BUTTON,gumb,27,0.56
2023-09-04,Croatian,produces,BUTTON,gumb,28,0.62
2023-09-04,Croatian,produces,BUTTON,gumb,29,0.82
2023-09-04,Croatian,produces,BUTTON,gumb,30,0.68
2023-09-04,Danish,produces,BUTTON,knap,8,0
2023-09-04,Danish,produces,BUTTON,knap,9,0
2023-09-04,Danish,produces,BUTTON,knap,10,0
2023-09-04,Danish,produces,BUTTON,knap,11,0
2023-09-04,Danish,produces,BUTTON,knap,12,0
2023-09-04,Danish,produces,BUTTON,knap,13,0.01
2023-09-04,Danish,produces,BUTTON,knap,14,0.01
2023-09-04,Danish,produces,BUTTON,knap,15,0.03
2023-09-04,Danish,produces,BUTTON,knap,16,0.03
2023-09-04,Danish,produces,BUTTON,knap,17,0.05
2023-09-04,Danish,produces,BUTTON,knap,18,0.1
2023-09-04,Danish,produces,BUTTON,knap,19,0.1
2023-09-04,Danish,produces,BUTTON,knap,20,0.2
2023-09-04,Danish,produces,BUTTON,knap,21,0.24
2023-09-04,Danish,produces,BUTTON,knap,22,0.37
2023-09-04,Danish,produces,BUTTON,knap,23,0.39
2023-09-04,Danish,produces,BUTTON,knap,24,0.49
2023-09-04,Danish,produces,BUTTON,knap,25,0.56
2023-09-04,Danish,produces,BUTTON,knap,26,0.65
2023-09-04,Danish,produces,BUTTON,knap,27,0.7
2023-09-04,Danish,produces,BUTTON,knap,28,0.67
2023-09-04,Danish,produces,BUTTON,knap,29,0.75
2023-09-04,Danish,produces,BUTTON,knap,30,0.76
2023-09-04,Danish,produces,BUTTON,knap,31,0.74
2023-09-04,Danish,produces,BUTTON,knap,32,0.76
2023-09-04,Danish,produces,BUTTON,knap,33,0.81
2023-09-04,Danish,produces,BUTTON,knap,34,0.85
2023-09-04,Danish,produces,BUTTON,knap,35,0.92
2023-09-04,Danish,produces,BUTTON,knap,36,0.9
2023-09-04,English (American),produces,BUTTON,button,8,0.01
2023-09-04,English (American),produces,BUTTON,button,9,0
2023-09-04,English (American),produces,BUTTON,button,10,0
2023-09-04,English (American),produces,BUTTON,button,11,0.02
2023-09-04,English (American),produces,BUTTON,button,12,0.02
2023-09-04,English (American),produces,BUTTON,button,13,0.03
2023-09-04,English (American),produces,BUTTON,button,14,0.05
2023-09-04,English (American),produces,BUTTON,button,15,0.09
2023-09-04,English (American),produces,BUTTON,button,16,0.15
2023-09-04,English (American),produces,BUTTON,button,17,0.14
2023-09-04,English (American),produces,BUTTON,button,18,0.19
2023-09-04,English (American),produces,BUTTON,button,19,0.3
2023-09-04,English (American),produces,BUTTON,button,20,0.34
2023-09-04,English (American),produces,BUTTON,button,21,0.37
2023-09-04,English (American),produces,BUTTON,button,22,0.42
2023-09-04,English (American),produces,BUTTON,button,23,0.53
2023-09-04,English (American),produces,BUTTON,button,24,0.55
2023-09-04,English (American),produces,BUTTON,button,25,0.63
2023-09-04,English (American),produces,BUTTON,button,26,0.65
2023-09-04,English (American),produces,BUTTON,button,27,0.64
2023-09-04,English (American),produces,BUTTON,button,28,0.84
2023-09-04,English (American),produces,BUTTON,button,29,0.73
2023-09-04,English (American),produces,BUTTON,button,30,0.77
2023-09-04,French (Quebecois),produces,BUTTON,bouton,8,0
2023-09-04,French (Quebecois),produces,BUTTON,bouton,9,0
2023-09-04,French (Quebecois),produces,BUTTON,bouton,10,0.02
2023-09-04,French (Quebecois),produces,BUTTON,bouton,11,0
2023-09-04,French (Quebecois),produces,BUTTON,bouton,12,0
2023-09-04,French (Quebecois),produces,BUTTON,bouton,13,0
2023-09-04,French (Quebecois),produces,BUTTON,bouton,14,0.04
2023-09-04,French (Quebecois),produces,BUTTON,bouton,15,0.03
2023-09-04,French (Quebecois),produces,BUTTON,bouton,16,0.06
2023-09-04,French (Quebecois),produces,BUTTON,bouton,17,0.15
2023-09-04,French (Quebecois),produces,BUTTON,bouton,18,0.15
2023-09-04,French (Quebecois),produces,BUTTON,bouton,19,0.26
2023-09-04,French (Quebecois),produces,BUTTON,bouton,20,0.28
2023-09-04,French (Quebecois),produces,BUTTON,bouton,21,0.44
2023-09-04,French (Quebecois),produces,BUTTON,bouton,22,0.41
2023-09-04,French (Quebecois),produces,BUTTON,bouton,23,0.46
2023-09-04,French (Quebecois),produces,BUTTON,bouton,24,0.47
2023-09-04,French (Quebecois),produces,BUTTON,bouton,25,0.51
2023-09-04,French (Quebecois),produces,BUTTON,bouton,26,0.64
2023-09-04,French (Quebecois),produces,BUTTON,bouton,27,0.76
2023-09-04,French (Quebecois),produces,BUTTON,bouton,28,0.75
2023-09-04,French (Quebecois),produces,BUTTON,bouton,29,0.93
2023-09-04,French (Quebecois),produces,BUTTON,bouton,30,0.77
2023-09-04,Hebrew,produces,BUTTON,כפתור,11,0
2023-09-04,Hebrew,produces,BUTTON,כפתור,12,0
2023-09-04,Hebrew,produces,BUTTON,כפתור,13,0.25
2023-09-04,Hebrew,produces,BUTTON,כפתור,14,0
2023-09-04,Hebrew,produces,BUTTON,כפתור,15,0
2023-09-04,Hebrew,produces,BUTTON,כפתור,16,0.17
2023-09-04,Hebrew,produces,BUTTON,כפתור,17,0
2023-09-04,Hebrew,produces,BUTTON,כפתור,19,0.25
2023-09-04,Hebrew,produces,BUTTON,כפתור,20,0.33
2023-09-04,Hebrew,produces,BUTTON,כפתור,21,0.5
2023-09-04,Hebrew,produces,BUTTON,כפתור,22,0.33
2023-09-04,Hebrew,produces,BUTTON,כפתור,23,0
2023-09-04,Hebrew,produces,BUTTON,כפתור,24,0.64
2023-09-04,Hebrew,produces,BUTTON,כפתור,25,0.54
2023-09-04,Hebrew,produces,BUTTON,כפתור,26,0.61
2023-09-04,Hebrew,produces,BUTTON,כפתור,27,0.59
2023-09-04,Hebrew,produces,BUTTON,כפתור,28,0.77
2023-09-04,Hebrew,produces,BUTTON,כפתור,29,0.74
2023-09-04,Hebrew,produces,BUTTON,כפתור,30,0.75
2023-09-04,Hebrew,produces,BUTTON,כפתור,31,0.74
2023-09-04,Hebrew,produces,BUTTON,כפתור,32,0.75
2023-09-04,Hebrew,produces,BUTTON,כפתור,33,0.86
2023-09-04,Hebrew,produces,BUTTON,כפתור,34,0.93
2023-09-04,Hebrew,produces,BUTTON,כפתור,35,0.72
2023-09-04,Hebrew,produces,BUTTON,כפתור,36,0.4
2023-09-04,Italian,produces,BUTTON,bottone,7,0
2023-09-04,Italian,produces,BUTTON,bottone,8,0
2023-09-04,Italian,produces,BUTTON,bottone,9,0
2023-09-04,Italian,produces,BUTTON,bottone,10,0
2023-09-04,Italian,produces,BUTTON,bottone,11,0
2023-09-04,Italian,produces,BUTTON,bottone,12,0
2023-09-04,Italian,produces,BUTTON,bottone,13,0
2023-09-04,Italian,produces,BUTTON,bottone,14,0.03
2023-09-04,Italian,produces,BUTTON,bottone,15,0
2023-09-04,Italian,produces,BUTTON,bottone,16,0.02
2023-09-04,Italian,produces,BUTTON,bottone,17,0.15
2023-09-04,Italian,produces,BUTTON,bottone,18,0.11
2023-09-04,Italian,produces,BUTTON,bottone,19,0.16
2023-09-04,Italian,produces,BUTTON,bottone,20,0.17
2023-09-04,Italian,produces,BUTTON,bottone,21,0.3
2023-09-04,Italian,produces,BUTTON,bottone,22,0.39
2023-09-04,Italian,produces,BUTTON,bottone,23,0.39
2023-09-04,Italian,produces,BUTTON,bottone,24,0.45
2023-09-04,Italian,produces,BUTTON,bottone,25,0.67
2023-09-04,Italian,produces,BUTTON,bottone,26,0.61
2023-09-04,Italian,produces,BUTTON,bottone,27,0.63
2023-09-04,Italian,produces,BUTTON,bottone,28,0.68
2023-09-04,Italian,produces,BUTTON,bottone,29,0.76
2023-09-04,Italian,produces,BUTTON,bottone,30,0.81
2023-09-04,Italian,produces,BUTTON,bottone,31,0.84
2023-09-04,Italian,produces,BUTTON,bottone,32,0.78
2023-09-04,Italian,produces,BUTTON,bottone,33,0.88
2023-09-04,Italian,produces,BUTTON,bottone,34,0.89
2023-09-04,Italian,produces,BUTTON,bottone,35,0.87
2023-09-04,Italian,produces,BUTTON,bottone,36,0.9
2023-09-04,Mandarin (Beijing),produces,BUTTON,钮扣,12,0
2023-09-04,Mandarin (Beijing),produces,BUTTON,钮扣,13,0
2023-09-04,Mandarin (Beijing),produces,BUTTON,钮扣,14,0
2023-09-04,Mandarin (Beijing),produces,BUTTON,钮扣,15,0
2023-09-04,Mandarin (Beijing),produces,BUTTON,"钮扣, 扣子",16,0.14
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,17,0.33
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,18,0.36
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,19,0.44
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,20,0.53
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,21,0.61
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,22,0.63
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,23,0.79
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,24,0.74
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,25,0.83
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,26,0.86
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,27,0.89
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,28,0.9
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,29,0.94
2023-09-04,Mandarin (Beijing),produces,BUTTON,扣子,30,0.92
2023-09-04,Norwegian,produces,BUTTON,knapp,8,0.03
2023-09-04,Norwegian,produces,BUTTON,knapp,9,0
2023-09-04,Norwegian,produces,BUTTON,knapp,10,0
2023-09-04,Norwegian,produces,BUTTON,knapp,11,0
2023-09-04,Norwegian,produces,BUTTON,knapp,12,0
2023-09-04,Norwegian,produces,BUTTON,knapp,13,0.03
2023-09-04,Norwegian,produces,BUTTON,knapp,14,0.02
2023-09-04,Norwegian,produces,BUTTON,knapp,15,0.05
2023-09-04,Norwegian,produces,BUTTON,"knapp, knapper",16,0.08
2023-09-04,Norwegian,produces,BUTTON,"knapp, knapper",17,0.07
2023-09-04,Norwegian,produces,BUTTON,"knapp, knapper",18,0.14
2023-09-04,Norwegian,produces,BUTTON,"knapp, knapper",19,0.17
2023-09-04,Norwegian,produces,BUTTON,"knapp, knapper",20,0.26
2023-09-04,Norwegian,produces,BUTTON,knapper,21,0.29
2023-09-04,Norwegian,produces,BUTTON,knapper,22,0.37
2023-09-04,Norwegian,produces,BUTTON,knapper,23,0.45
2023-09-04,Norwegian,produces,BUTTON,knapper,24,0.51
2023-09-04,Norwegian,produces,BUTTON,knapper,25,0.58
2023-09-04,Norwegian,produces,BUTTON,knapper,26,0.64
2023-09-04,Norwegian,produces,BUTTON,knapper,27,0.72
2023-09-04,Norwegian,produces,BUTTON,knapper,28,0.76
2023-09-04,Norwegian,produces,BUTTON,knapper,29,0.76
2023-09-04,Norwegian,produces,BUTTON,knapper,30,0.78
2023-09-04,Norwegian,produces,BUTTON,knapper,31,0.82
2023-09-04,Norwegian,produces,BUTTON,knapper,32,0.86
2023-09-04,Norwegian,produces,BUTTON,knapper,33,0.88
2023-09-04,Norwegian,produces,BUTTON,knapper,34,0.87
2023-09-04,Norwegian,produces,BUTTON,knapper,35,0.92
2023-09-04,Norwegian,produces,BUTTON,knapper,36,0.91
2023-09-04,Russian,produces,BUTTON,пуговица,8,0
2023-09-04,Russian,produces,BUTTON,пуговица,9,0
2023-09-04,Russian,produces,BUTTON,пуговица,10,0.02
2023-09-04,Russian,produces,BUTTON,пуговица,11,0.01
2023-09-04,Russian,produces,BUTTON,пуговица,12,0.03
2023-09-04,Russian,produces,BUTTON,пуговица,13,0.03
2023-09-04,Russian,produces,BUTTON,пуговица,14,0.08
2023-09-04,Russian,produces,BUTTON,пуговица,15,0.02
2023-09-04,Russian,produces,BUTTON,пуговица,16,0.07
2023-09-04,Russian,produces,BUTTON,пуговица,17,0.06
2023-09-04,Russian,produces,BUTTON,пуговица,18,0.14
2023-09-04,Russian,produces,BUTTON,пуговица,19,0.22
2023-09-04,Russian,produces,BUTTON,пуговица,20,0.16
2023-09-04,Russian,produces,BUTTON,пуговица,21,0.51
2023-09-04,Russian,produces,BUTTON,пуговица,22,0.31
2023-09-04,Russian,produces,BUTTON,пуговица,23,0.34
2023-09-04,Russian,produces,BUTTON,пуговица,24,0.52
2023-09-04,Russian,produces,BUTTON,пуговица,25,0.53
2023-09-04,Russian,produces,BUTTON,пуговица,26,0.54
2023-09-04,Russian,produces,BUTTON,пуговица,27,0.68
2023-09-04,Russian,produces,BUTTON,пуговица,28,0.53
2023-09-04,Russian,produces,BUTTON,пуговица,29,0.74
2023-09-04,Russian,produces,BUTTON,пуговица,30,0.64
2023-09-04,Russian,produces,BUTTON,пуговица,31,0.75
2023-09-04,Russian,produces,BUTTON,пуговица,32,0.75
2023-09-04,Russian,produces,BUTTON,пуговица,33,0.75
2023-09-04,Russian,produces,BUTTON,пуговица,34,0.86
2023-09-04,Russian,produces,BUTTON,пуговица,35,0.77
2023-09-04,Russian,produces,BUTTON,пуговица,36,0.82
2023-09-04,Slovak,produces,BUTTON,gombík,8,0
2023-09-04,Slovak,produces,BUTTON,gombík,9,0
2023-09-04,Slovak,produces,BUTTON,gombík,10,0
2023-09-04,Slovak,produces,BUTTON,gombík,11,0
2023-09-04,Slovak,produces,BUTTON,gombík,12,0.04
2023-09-04,Slovak,produces,BUTTON,gombík,13,0.05
2023-09-04,Slovak,produces,BUTTON,gombík,14,0.1
2023-09-04,Slovak,produces,BUTTON,gombík,15,0.1
2023-09-04,Slovak,produces,BUTTON,gombík,16,0.13
2023-09-04,Slovak,produces,BUTTON,gombík,17,0.09
2023-09-04,Slovak,produces,BUTTON,gombík,18,0.23
2023-09-04,Slovak,produces,BUTTON,gombík,19,0.27
2023-09-04,Slovak,produces,BUTTON,gombík,20,0.37
2023-09-04,Slovak,produces,BUTTON,gombík,21,0.38
2023-09-04,Slovak,produces,BUTTON,gombík,22,0.47
2023-09-04,Slovak,produces,BUTTON,gombík,23,0.53
2023-09-04,Slovak,produces,BUTTON,gombík,24,0.64
2023-09-04,Slovak,produces,BUTTON,gombík,25,0.54
2023-09-04,Slovak,produces,BUTTON,gombík,26,0.78
2023-09-04,Slovak,produces,BUTTON,gombík,27,0.81
2023-09-04,Slovak,produces,BUTTON,gombík,28,0.72
2023-09-04,Slovak,produces,BUTTON,gombík,29,0.8
2023-09-04,Slovak,produces,BUTTON,gombík,30,0.67
2023-09-04,Slovak,produces,BUTTON,gombík,31,0.69
2023-09-04,Slovak,produces,BUTTON,gombík,32,0.92
2023-09-04,Slovak,produces,BUTTON,gombík,33,0.86
2023-09-04,Slovak,produces,BUTTON,gombík,34,0.81
2023-09-04,Slovak,produces,BUTTON,gombík,35,0.78
2023-09-04,Slovak,produces,BUTTON,gombík,36,0.88
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,8,0
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,9,0.02
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,10,0
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,11,0
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,12,0.01
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,13,0.01
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,14,0.03
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,15,0.07
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,16,0.16
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,17,0.15
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,18,0.17
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,19,0.3
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,20,0.29
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,21,0.27
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,22,0.4
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,23,0.36
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,24,0.4
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,25,0.49
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,26,0.58
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,27,0.73
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,28,0.61
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,29,0.65
2023-09-04,Spanish (Mexican),produces,BUTTON,botón,30,0.37
2023-09-04,Swedish,produces,BUTTON,knapp,8,0
2023-09-04,Swedish,produces,BUTTON,knapp,9,0
2023-09-04,Swedish,produces,BUTTON,knapp,10,0.02
2023-09-04,Swedish,produces,BUTTON,knapp,11,0
2023-09-04,Swedish,produces,BUTTON,knapp,12,0.03
2023-09-04,Swedish,produces,BUTTON,knapp,13,0
2023-09-04,Swedish,produces,BUTTON,knapp,14,0.04
2023-09-04,Swedish,produces,BUTTON,knapp,15,0.08
2023-09-04,Swedish,produces,BUTTON,knapp,16,0.14
2023-09-04,Swedish,produces,BUTTON,knapp,19,0.21
2023-09-04,Swedish,produces,BUTTON,knapp,22,0.42
2023-09-04,Swedish,produces,BUTTON,knapp,25,0.64
2023-09-04,Swedish,produces,BUTTON,knapp,28,0.71
2023-09-04,English (British),produces,BUTTON,button,12,0
2023-09-04,English (British),produces,BUTTON,button,13,0
2023-09-04,English (British),produces,BUTTON,button,14,0.05
2023-09-04,English (British),produces,BUTTON,button,15,0.02
2023-09-04,English (British),produces,BUTTON,button,16,0.11
2023-09-04,English (British),produces,BUTTON,button,17,0.1
2023-09-04,English (British),produces,BUTTON,button,18,0.14
2023-09-04,English (British),produces,BUTTON,button,19,0.17
2023-09-04,English (British),produces,BUTTON,button,20,0.24
2023-09-04,English (British),produces,BUTTON,button,21,0.32
2023-09-04,English (British),produces,BUTTON,button,22,0.32
2023-09-04,English (British),produces,BUTTON,button,23,0.5
2023-09-04,English (British),produces,BUTTON,button,24,0.55
2023-09-04,English (British),produces,BUTTON,button,25,0.53
2023-09-04,Czech,produces,BUTTON,knoflík,16,0
2023-09-04,Czech,produces,BUTTON,knoflík,17,0.03
2023-09-04,Czech,produces,BUTTON,knoflík,18,0.07
2023-09-04,Czech,produces,BUTTON,knoflík,19,0.04
2023-09-04,Czech,produces,BUTTON,knoflík,20,0.08
2023-09-04,Czech,produces,BUTTON,knoflík,21,0.12
2023-09-04,Czech,produces,BUTTON,knoflík,22,0.19
2023-09-04,Czech,produces,BUTTON,knoflík,23,0.22
2023-09-04,Czech,produces,BUTTON,knoflík,24,0.31
2023-09-04,Czech,produces,BUTTON,knoflík,25,0.23
2023-09-04,Czech,produces,BUTTON,knoflík,26,0.41
2023-09-04,Czech,produces,BUTTON,knoflík,27,0.46
2023-09-04,Czech,produces,BUTTON,knoflík,28,0.73
2023-09-04,Czech,produces,BUTTON,knoflík,29,0.46
2023-09-04,Czech,produces,BUTTON,knoflík,30,0.63
2023-09-04,English (Australian),produces,BUTTON,button,12,0.01
2023-09-04,English (Australian),produces,BUTTON,button,13,0
2023-09-04,English (Australian),produces,BUTTON,button,14,0.03
2023-09-04,English (Australian),produces,BUTTON,button,15,0.09
2023-09-04,English (Australian),produces,BUTTON,button,16,0.1
2023-09-04,English (Australian),produces,BUTTON,button,17,0.12
2023-09-04,English (Australian),produces,BUTTON,button,18,0.11
2023-09-04,English (Australian),produces,BUTTON,button,19,0.27
2023-09-04,English (Australian),produces,BUTTON,button,20,0.35
2023-09-04,English (Australian),produces,BUTTON,button,21,0.41
2023-09-04,English (Australian),produces,BUTTON,button,22,0.56
2023-09-04,English (Australian),produces,BUTTON,button,23,0.59
2023-09-04,English (Australian),produces,BUTTON,button,24,0.63
2023-09-04,English (Australian),produces,BUTTON,button,25,0.55
2023-09-04,English (Australian),produces,BUTTON,button,26,0.66
2023-09-04,English (Australian),produces,BUTTON,button,27,0.82
2023-09-04,English (Australian),produces,BUTTON,button,28,0.7
2023-09-04,English (Australian),produces,BUTTON,button,29,0.82
2023-09-04,English (Australian),produces,BUTTON,button,30,0.83
2023-09-04,Latvian,produces,BUTTON,pogas,8,0
2023-09-04,Latvian,produces,BUTTON,pogas,9,0
2023-09-04,Latvian,produces,BUTTON,pogas,10,0
2023-09-04,Latvian,produces,BUTTON,pogas,11,0
2023-09-04,Latvian,produces,BUTTON,pogas,12,0.06
2023-09-04,Latvian,produces,BUTTON,pogas,13,0.05
2023-09-04,Latvian,produces,BUTTON,pogas,14,0.12
2023-09-04,Latvian,produces,BUTTON,pogas,15,0.03
2023-09-04,Latvian,produces,BUTTON,pogas,16,0.12
2023-09-04,Latvian,produces,BUTTON,pogas,17,0.11
2023-09-04,Latvian,produces,BUTTON,pogas,18,0.24
2023-09-04,Latvian,produces,BUTTON,pogas,19,0.29
2023-09-04,Latvian,produces,BUTTON,pogas,20,0.32
2023-09-04,Latvian,produces,BUTTON,pogas,21,0.5
2023-09-04,Latvian,produces,BUTTON,pogas,22,0.44
2023-09-04,Latvian,produces,BUTTON,pogas,23,0.48
2023-09-04,Latvian,produces,BUTTON,pogas,24,0.63
2023-09-04,Latvian,produces,BUTTON,pogas,25,0.59
2023-09-04,Latvian,produces,BUTTON,pogas,26,0.73
2023-09-04,Latvian,produces,BUTTON,pogas,27,0.78
2023-09-04,Latvian,produces,BUTTON,pogas,28,0.83
2023-09-04,Latvian,produces,BUTTON,pogas,29,0.92
2023-09-04,Latvian,produces,BUTTON,pogas,30,0.77
2023-09-04,Latvian,produces,BUTTON,pogas,31,0.84
2023-09-04,Latvian,produces,BUTTON,pogas,32,0.8
2023-09-04,Latvian,produces,BUTTON,pogas,33,0.94
2023-09-04,Latvian,produces,BUTTON,pogas,34,0.88
2023-09-04,Latvian,produces,BUTTON,pogas,35,0.95
2023-09-04,Latvian,produces,BUTTON,pogas,36,0.82
2023-09-04,Korean,produces,BUTTON,단추,8,0
2023-09-04,Korean,produces,BUTTON,단추,9,0
2023-09-04,Korean,produces,BUTTON,단추,10,0.02
2023-09-04,Korean,produces,BUTTON,단추,11,0
2023-09-04,Korean,produces,BUTTON,단추,12,0.02
2023-09-04,Korean,produces,BUTTON,단추,13,0.01
2023-09-04,Korean,produces,BUTTON,단추,14,0.02
2023-09-04,Korean,produces,BUTTON,단추,15,0.05
