downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,CAR,"車, 私家車",16,0.25
2023-09-04,Cantonese,produces,CAR,"車, 私家車",17,0.24
2023-09-04,Cantonese,produces,CAR,"車, 私家車",18,0.36
2023-09-04,Cantonese,produces,CAR,"車, 私家車",19,0.33
2023-09-04,Cantonese,produces,CAR,"車, 私家車",20,0.49
2023-09-04,Cantonese,produces,CAR,"車, 私家車",21,0.49
2023-09-04,Cantonese,produces,CAR,"車, 私家車",22,0.49
2023-09-04,Cantonese,produces,CAR,"車, 私家車",23,0.55
2023-09-04,Cantonese,produces,CAR,"車, 私家車",24,0.6
2023-09-04,Cantonese,produces,CAR,"車, 私家車",25,0.59
2023-09-04,Cantonese,produces,CAR,"車, 私家車",26,0.64
2023-09-04,Cantonese,produces,CAR,"車, 私家車",27,0.59
2023-09-04,Cantonese,produces,CAR,"車, 私家車",28,0.67
2023-09-04,Cantonese,produces,CAR,"車, 私家車",29,0.72
2023-09-04,Cantonese,produces,CAR,"車, 私家車",30,0.73
2023-09-04,Croatian,produces,CAR,auto,8,0
2023-09-04,Croatian,produces,CAR,auto,9,0
2023-09-04,Croatian,produces,CAR,auto,10,0.05
2023-09-04,Croatian,produces,CAR,auto,11,0.08
2023-09-04,Croatian,produces,CAR,auto,12,0.03
2023-09-04,Croatian,produces,CAR,auto,13,0.24
2023-09-04,Croatian,produces,CAR,auto,14,0.29
2023-09-04,Croatian,produces,CAR,auto,15,0.17
2023-09-04,Croatian,produces,CAR,auto,16,0.55
2023-09-04,Croatian,produces,CAR,auto,17,0.44
2023-09-04,Croatian,produces,CAR,auto,18,0.73
2023-09-04,Croatian,produces,CAR,auto,19,0.67
2023-09-04,Croatian,produces,CAR,auto,20,0.73
2023-09-04,Croatian,produces,CAR,auto,21,0.79
2023-09-04,Croatian,produces,CAR,auto,22,0.88
2023-09-04,Croatian,produces,CAR,auto,23,0.92
2023-09-04,Croatian,produces,CAR,auto,24,0.97
2023-09-04,Croatian,produces,CAR,auto,25,0.93
2023-09-04,Croatian,produces,CAR,auto,26,1
2023-09-04,Croatian,produces,CAR,auto,27,1
2023-09-04,Croatian,produces,CAR,auto,28,1
2023-09-04,Croatian,produces,CAR,auto,29,1
2023-09-04,Croatian,produces,CAR,auto,30,1
