downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,CARROT,蘿蔔,16,0.04
2023-09-04,Cantonese,produces,CARROT,蘿蔔,17,0.03
2023-09-04,Cantonese,produces,CARROT,蘿蔔,18,0.06
2023-09-04,Cantonese,produces,CARROT,蘿蔔,19,0.09
2023-09-04,Cantonese,produces,CARROT,蘿蔔,20,0.21
2023-09-04,Cantonese,produces,CARROT,蘿蔔,21,0.24
2023-09-04,Cantonese,produces,CARROT,蘿蔔,22,0.29
2023-09-04,Cantonese,produces,CARROT,蘿蔔,23,0.23
2023-09-04,Cantonese,produces,CARROT,蘿蔔,24,0.29
2023-09-04,Cantonese,produces,CARROT,蘿蔔,25,0.42
2023-09-04,Cantonese,produces,CARROT,蘿蔔,26,0.43
2023-09-04,Cantonese,produces,CARROT,蘿蔔,27,0.48
2023-09-04,Cantonese,produces,CARROT,蘿蔔,28,0.53
2023-09-04,Cantonese,produces,CARROT,蘿蔔,29,0.6
2023-09-04,Cantonese,produces,CARROT,蘿蔔,30,0.76
2023-09-04,Croatian,produces,CARROT,mrkva,8,0
2023-09-04,Croatian,produces,CARROT,mrkva,9,0
2023-09-04,Croatian,produces,CARROT,mrkva,10,0
2023-09-04,Croatian,produces,CARROT,mrkva,11,0
2023-09-04,Croatian,produces,CARROT,mrkva,12,0
2023-09-04,Croatian,produces,CARROT,mrkva,13,0
2023-09-04,Croatian,produces,CARROT,mrkva,14,0.07
2023-09-04,Croatian,produces,CARROT,mrkva,15,0
2023-09-04,Croatian,produces,CARROT,"mrkva, mrkve",16,0.13
2023-09-04,Croatian,produces,CARROT,mrkve,17,0.08
2023-09-04,Croatian,produces,CARROT,mrkve,18,0.09
2023-09-04,Croatian,produces,CARROT,mrkve,19,0.19
2023-09-04,Croatian,produces,CARROT,mrkve,20,0.38
2023-09-04,Croatian,produces,CARROT,mrkve,21,0.24
2023-09-04,Croatian,produces,CARROT,mrkve,22,0.38
2023-09-04,Croatian,produces,CARROT,mrkve,23,0.46
2023-09-04,Croatian,produces,CARROT,mrkve,24,0.63
2023-09-04,Croatian,produces,CARROT,mrkve,25,0.6
2023-09-04,Croatian,produces,CARROT,mrkve,26,0.66
2023-09-04,Croatian,produces,CARROT,mrkve,27,0.96
2023-09-04,Croatian,produces,CARROT,mrkve,28,1
2023-09-04,Croatian,produces,CARROT,mrkve,29,0.71
2023-09-04,Croatian,produces,CARROT,mrkve,30,0.89
2023-09-04,Danish,produces,CARROT,gulerødder,8,0
2023-09-04,Danish,produces,CARROT,gulerødder,9,0
2023-09-04,Danish,produces,CARROT,gulerødder,10,0
2023-09-04,Danish,produces,CARROT,gulerødder,11,0
2023-09-04,Danish,produces,CARROT,gulerødder,12,0
2023-09-04,Danish,produces,CARROT,gulerødder,13,0
2023-09-04,Danish,produces,CARROT,gulerødder,14,0
2023-09-04,Danish,produces,CARROT,gulerødder,15,0
2023-09-04,Danish,produces,CARROT,gulerødder,16,0.03
2023-09-04,Danish,produces,CARROT,gulerødder,17,0.07
2023-09-04,Danish,produces,CARROT,gulerødder,18,0.11
2023-09-04,Danish,produces,CARROT,gulerødder,19,0.14
2023-09-04,Danish,produces,CARROT,gulerødder,20,0.29
2023-09-04,Danish,produces,CARROT,gulerødder,21,0.33
2023-09-04,Danish,produces,CARROT,gulerødder,22,0.49
2023-09-04,Danish,produces,CARROT,gulerødder,23,0.51
2023-09-04,Danish,produces,CARROT,gulerødder,24,0.6
2023-09-04,Danish,produces,CARROT,gulerødder,25,0.65
2023-09-04,Danish,produces,CARROT,gulerødder,26,0.86
2023-09-04,Danish,produces,CARROT,gulerødder,27,0.81
2023-09-04,Danish,produces,CARROT,gulerødder,28,0.84
2023-09-04,Danish,produces,CARROT,gulerødder,29,0.87
2023-09-04,Danish,produces,CARROT,gulerødder,30,0.92
2023-09-04,Danish,produces,CARROT,gulerødder,31,0.95
2023-09-04,Danish,produces,CARROT,gulerødder,32,0.97
2023-09-04,Danish,produces,CARROT,gulerødder,33,0.98
2023-09-04,Danish,produces,CARROT,gulerødder,34,0.98
2023-09-04,Danish,produces,CARROT,gulerødder,35,0.99
2023-09-04,Danish,produces,CARROT,gulerødder,36,0.99
2023-09-04,English (American),produces,CARROT,carrots,8,0.01
2023-09-04,English (American),produces,CARROT,carrots,9,0.01
2023-09-04,English (American),produces,CARROT,carrots,10,0
2023-09-04,English (American),produces,CARROT,carrots,11,0.01
2023-09-04,English (American),produces,CARROT,carrots,12,0.01
2023-09-04,English (American),produces,CARROT,carrots,13,0.01
