downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,CHAIR,凳/椅,16,0.04
2023-09-04,Cantonese,produces,CHAIR,凳/椅,17,0.18
2023-09-04,Cantonese,produces,CHAIR,凳/椅,18,0.16
2023-09-04,Cantonese,produces,CHAIR,凳/椅,19,0.18
2023-09-04,Cantonese,produces,CHAIR,凳/椅,20,0.36
2023-09-04,Cantonese,produces,CHAIR,凳/椅,21,0.44
2023-09-04,Cantonese,produces,CHAIR,凳/椅,22,0.53
2023-09-04,Cantonese,produces,CHAIR,凳/椅,23,0.5
2023-09-04,Cantonese,produces,CHAIR,凳/椅,24,0.65
2023-09-04,Cantonese,produces,CHAIR,凳/椅,25,0.83
2023-09-04,Cantonese,produces,CHAIR,凳/椅,26,0.72
2023-09-04,Cantonese,produces,CHAIR,凳/椅,27,0.9
2023-09-04,Cantonese,produces,CHAIR,凳/椅,28,0.89
2023-09-04,Cantonese,produces,CHAIR,凳/椅,29,0.92
2023-09-04,Cantonese,produces,CHAIR,凳/椅,30,0.89
2023-09-04,Croatian,produces,CHAIR,stolica,8,0
2023-09-04,Croatian,produces,CHAIR,stolica,9,0
2023-09-04,Croatian,produces,CHAIR,stolica,10,0
2023-09-04,Croatian,produces,CHAIR,stolica,11,0
2023-09-04,Croatian,produces,CHAIR,stolica,12,0
2023-09-04,Croatian,produces,CHAIR,stolica,13,0
2023-09-04,Croatian,produces,CHAIR,stolica,14,0
2023-09-04,Croatian,produces,CHAIR,stolica,15,0
2023-09-04,Croatian,produces,CHAIR,"stolica, klupa",16,0.1
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",17,0.06
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",18,0.09
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",19,0.19
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",20,0.23
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",21,0.22
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",22,0.35
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",23,0.44
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",24,0.47
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",25,0.57
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",26,0.57
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",27,0.56
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",28,0.81
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",29,0.62
2023-09-04,Croatian,produces,CHAIR,"klupa, stolica",30,0.75
2023-09-04,Danish,produces,CHAIR,stol,8,0
2023-09-04,Danish,produces,CHAIR,stol,9,0
2023-09-04,Danish,produces,CHAIR,stol,10,0
2023-09-04,Danish,produces,CHAIR,stol,11,0
2023-09-04,Danish,produces,CHAIR,stol,12,0.01
2023-09-04,Danish,produces,CHAIR,stol,13,0
2023-09-04,Danish,produces,CHAIR,stol,14,0.02
2023-09-04,Danish,produces,CHAIR,stol,15,0.01
2023-09-04,Danish,produces,CHAIR,stol,16,0.05
2023-09-04,Danish,produces,CHAIR,stol,17,0.13
2023-09-04,Danish,produces,CHAIR,stol,18,0.27
2023-09-04,Danish,produces,CHAIR,stol,19,0.34
2023-09-04,Danish,produces,CHAIR,stol,20,0.43
2023-09-04,Danish,produces,CHAIR,stol,21,0.56
2023-09-04,Danish,produces,CHAIR,stol,22,0.68
2023-09-04,Danish,produces,CHAIR,stol,23,0.71
2023-09-04,Danish,produces,CHAIR,stol,24,0.79
2023-09-04,Danish,produces,CHAIR,stol,25,0.83
2023-09-04,Danish,produces,CHAIR,stol,26,0.88
2023-09-04,Danish,produces,CHAIR,stol,27,0.88
2023-09-04,Danish,produces,CHAIR,stol,28,0.89
2023-09-04,Danish,produces,CHAIR,stol,29,0.92
2023-09-04,Danish,produces,CHAIR,stol,30,0.93
2023-09-04,Danish,produces,CHAIR,stol,31,0.94
2023-09-04,Danish,produces,CHAIR,stol,32,0.97
2023-09-04,Danish,produces,CHAIR,stol,33,0.95
2023-09-04,Danish,produces,CHAIR,stol,34,0.99
2023-09-04,Danish,produces,CHAIR,stol,35,0.97
2023-09-04,Danish,produces,CHAIR,stol,36,0.99
2023-09-04,English (American),produces,CHAIR,chair,8,0.01
2023-09-04,English (American),produces,CHAIR,chair,9,0.02
2023-09-04,English (American),produces,CHAIR,chair,10,0.01
2023-09-04,English (American),produces,CHAIR,chair,11,0.02
2023-09-04,English (American),produces,CHAIR,chair,12,0.02
2023-09-04,English (American),produces,CHAIR,chair,13,0.02
2023-09-04,English (American),produces,CHAIR,chair,14,0.02
2023-09-04,English (American),produces,CHAIR,chair,15,0.1
2023-09-04,English (American),produces,CHAIR,chair,16,0.13
2023-09-04,English (American),produces,CHAIR,chair,17,0.17
2023-09-04,English (American),produces,CHAIR,chair,18,0.27
2023-09-04,English (American),produces,CHAIR,chair,19,0.41
2023-09-04,English (American),produces,CHAIR,chair,20,0.44
2023-09-04,English (American),produces,CHAIR,chair,21,0.46
2023-09-04,English (American),produces,CHAIR,chair,22,0.58
2023-09-04,English (American),produces,CHAIR,chair,23,0.65
2023-09-04,English (American),produces,CHAIR,chair,24,0.73
2023-09-04,English (American),produces,CHAIR,chair,25,0.79
2023-09-04,English (American),produces,CHAIR,chair,26,0.79
2023-09-04,English (American),produces,CHAIR,chair,27,0.81
2023-09-04,English (American),produces,CHAIR,chair,28,0.93
2023-09-04,English (American),produces,CHAIR,chair,29,0.85
2023-09-04,English (American),produces,CHAIR,chair,30,0.86
2023-09-04,French (Quebecois),produces,CHAIR,chaise,8,0
2023-09-04,French (Quebecois),produces,CHAIR,chaise,9,0
2023-09-04,French (Quebecois),produces,CHAIR,chaise,10,0
2023-09-04,French (Quebecois),produces,CHAIR,chaise,11,0
2023-09-04,French (Quebecois),produces,CHAIR,chaise,12,0
2023-09-04,French (Quebecois),produces,CHAIR,chaise,13,0
2023-09-04,French (Quebecois),produces,CHAIR,chaise,14,0
2023-09-04,French (Quebecois),produces,CHAIR,chaise,15,0.02
2023-09-04,French (Quebecois),produces,CHAIR,chaise,16,0.08
2023-09-04,French (Quebecois),produces,CHAIR,chaise,17,0.21
2023-09-04,French (Quebecois),produces,CHAIR,chaise,18,0.39
2023-09-04,French (Quebecois),produces,CHAIR,chaise,19,0.39
2023-09-04,French (Quebecois),produces,CHAIR,chaise,20,0.47
2023-09-04,French (Quebecois),produces,CHAIR,chaise,21,0.66
2023-09-04,French (Quebecois),produces,CHAIR,chaise,22,0.65
2023-09-04,French (Quebecois),produces,CHAIR,chaise,23,0.79
2023-09-04,French (Quebecois),produces,CHAIR,chaise,24,0.77
2023-09-04,French (Quebecois),produces,CHAIR,chaise,25,0.79
2023-09-04,French (Quebecois),produces,CHAIR,chaise,26,0.91
2023-09-04,French (Quebecois),produces,CHAIR,chaise,27,0.93
2023-09-04,French (Quebecois),produces,CHAIR,chaise,28,0.98
2023-09-04,French (Quebecois),produces,CHAIR,chaise,29,0.95
2023-09-04,French (Quebecois),produces,CHAIR,chaise,30,0.92
2023-09-04,German,produces,CHAIR,Stuhl,18,0.19
2023-09-04,German,produces,CHAIR,Stuhl,19,0.39
2023-09-04,German,produces,CHAIR,Stuhl,20,0.32
2023-09-04,German,produces,CHAIR,Stuhl,21,0.4
2023-09-04,German,produces,CHAIR,Stuhl,22,0.55
2023-09-04,German,produces,CHAIR,Stuhl,23,0.8
2023-09-04,German,produces,CHAIR,Stuhl,24,0.71
2023-09-04,German,produces,CHAIR,Stuhl,25,0.78
2023-09-04,German,produces,CHAIR,Stuhl,26,0.87
2023-09-04,German,produces,CHAIR,Stuhl,27,0.83
2023-09-04,German,produces,CHAIR,Stuhl,28,0.89
2023-09-04,German,produces,CHAIR,Stuhl,29,0.94
2023-09-04,German,produces,CHAIR,Stuhl,30,0.97
2023-09-04,Hebrew,produces,CHAIR,כיסא,11,0
2023-09-04,Hebrew,produces,CHAIR,כיסא,12,0
2023-09-04,Hebrew,produces,CHAIR,כיסא,13,0
2023-09-04,Hebrew,produces,CHAIR,כיסא,14,0
2023-09-04,Hebrew,produces,CHAIR,כיסא,15,0
2023-09-04,Hebrew,produces,CHAIR,כיסא,16,0.17
2023-09-04,Hebrew,produces,CHAIR,כיסא,17,0.33
2023-09-04,Hebrew,produces,CHAIR,כיסא,19,0.5
2023-09-04,Hebrew,produces,CHAIR,כיסא,20,0.44
2023-09-04,Hebrew,produces,CHAIR,כיסא,21,0.5
2023-09-04,Hebrew,produces,CHAIR,כיסא,22,0.67
2023-09-04,Hebrew,produces,CHAIR,כיסא,23,0.86
2023-09-04,Hebrew,produces,CHAIR,כיסא,24,0.82
2023-09-04,Hebrew,produces,CHAIR,כיסא,25,0.89
2023-09-04,Hebrew,produces,CHAIR,כיסא,26,0.92
2023-09-04,Hebrew,produces,CHAIR,כיסא,27,0.91
2023-09-04,Hebrew,produces,CHAIR,כיסא,28,0.91
2023-09-04,Hebrew,produces,CHAIR,כיסא,29,0.96
2023-09-04,Hebrew,produces,CHAIR,כיסא,30,0.93
2023-09-04,Hebrew,produces,CHAIR,כיסא,31,0.94
2023-09-04,Hebrew,produces,CHAIR,כיסא,32,0.94
2023-09-04,Hebrew,produces,CHAIR,כיסא,33,0.9
2023-09-04,Hebrew,produces,CHAIR,כיסא,34,1
2023-09-04,Hebrew,produces,CHAIR,כיסא,35,0.83
2023-09-04,Hebrew,produces,CHAIR,כיסא,36,0.8
2023-09-04,Italian,produces,CHAIR,sedia,7,0
2023-09-04,Italian,produces,CHAIR,sedia,8,0
2023-09-04,Italian,produces,CHAIR,sedia,9,0
2023-09-04,Italian,produces,CHAIR,sedia,10,0
2023-09-04,Italian,produces,CHAIR,sedia,11,0
2023-09-04,Italian,produces,CHAIR,sedia,12,0
2023-09-04,Italian,produces,CHAIR,sedia,13,0
2023-09-04,Italian,produces,CHAIR,sedia,14,0
2023-09-04,Italian,produces,CHAIR,sedia,15,0.03
2023-09-04,Italian,produces,CHAIR,sedia,16,0
2023-09-04,Italian,produces,CHAIR,sedia,17,0.1
2023-09-04,Italian,produces,CHAIR,sedia,18,0.13
2023-09-04,Italian,produces,CHAIR,sedia,19,0.22
2023-09-04,Italian,produces,CHAIR,sedia,20,0.22
2023-09-04,Italian,produces,CHAIR,sedia,21,0.4
2023-09-04,Italian,produces,CHAIR,sedia,22,0.51
2023-09-04,Italian,produces,CHAIR,sedia,23,0.63
2023-09-04,Italian,produces,CHAIR,sedia,24,0.66
2023-09-04,Italian,produces,CHAIR,sedia,25,0.82
2023-09-04,Italian,produces,CHAIR,sedia,26,0.83
