downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,COUCH,梳化,16,0
2023-09-04,Cantonese,produces,COUCH,梳化,17,0.03
2023-09-04,Cantonese,produces,COUCH,梳化,18,0.04
2023-09-04,Cantonese,produces,COUCH,梳化,19,0.03
2023-09-04,Cantonese,produces,COUCH,梳化,20,0.17
2023-09-04,Cantonese,produces,COUCH,梳化,21,0.22
2023-09-04,Cantonese,produces,COUCH,梳化,22,0.21
2023-09-04,Cantonese,produces,COUCH,梳化,23,0.31
2023-09-04,Cantonese,produces,COUCH,梳化,24,0.49
2023-09-04,Cantonese,produces,COUCH,梳化,25,0.42
2023-09-04,Cantonese,produces,COUCH,梳化,26,0.57
2023-09-04,Cantonese,produces,COUCH,梳化,27,0.68
2023-09-04,Cantonese,produces,COUCH,梳化,28,0.64
2023-09-04,Cantonese,produces,COUCH,梳化,29,0.74
2023-09-04,Cantonese,produces,COUCH,梳化,30,0.8
2023-09-04,Croatian,produces,COUCH,kauč,8,0
2023-09-04,Croatian,produces,COUCH,kauč,9,0
2023-09-04,Croatian,produces,COUCH,kauč,10,0
2023-09-04,Croatian,produces,COUCH,kauč,11,0
2023-09-04,Croatian,produces,COUCH,kauč,12,0
2023-09-04,Croatian,produces,COUCH,kauč,13,0.03
2023-09-04,Croatian,produces,COUCH,kauč,14,0
2023-09-04,Croatian,produces,COUCH,kauč,15,0
2023-09-04,Croatian,produces,COUCH,kauč,16,0.04
2023-09-04,Croatian,produces,COUCH,kauč,17,0.04
2023-09-04,Croatian,produces,COUCH,kauč,18,0.14
2023-09-04,Croatian,produces,COUCH,kauč,19,0.05
2023-09-04,Croatian,produces,COUCH,kauč,20,0.19
2023-09-04,Croatian,produces,COUCH,kauč,21,0.17
2023-09-04,Croatian,produces,COUCH,kauč,22,0.33
2023-09-04,Croatian,produces,COUCH,kauč,23,0.31
2023-09-04,Croatian,produces,COUCH,kauč,24,0.43
2023-09-04,Croatian,produces,COUCH,kauč,25,0.43
2023-09-04,Croatian,produces,COUCH,kauč,26,0.41
2023-09-04,Croatian,produces,COUCH,kauč,27,0.56
