"","uni_lemma","Cantonese","Croatian","Czech","Danish","Dutch","English (American)","English (Australian)","English (British)","French (French)","French (Quebecois)","German","Hebrew","Hungarian","Italian","Kigiriama","Korean","Latvian","Mandarin (Beijing)","Mandarin (Taiwanese)","Norwegian","Persian","Portuguese (European)","Russian","Slovak","Spanish (Argentinian)","Spanish (European)","Spanish (Mexican)","Turkish","total","N","prop","sd","se","ci"
"1","ALLIGATOR",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,6,6,0.681666666666667,0.0978604448521805,0.0399513593149358,0.102698238563954
"2","AMBULANCE",1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,12,12,0.538333333333333,0.140054102100408,0.040430136774391,0.0889861310609097
"3","ANT",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,25,25,0.7248,0.10352616416475,0.0207052328329499,0.0427335002620987
"4","BANANA",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,26,26,0.928461538461538,0.0714250548584911,0.01400760571088,0.0288492039933247
"5","BED",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,26,0.886923076923077,0.102597045991363,0.0201209361364206,0.0414398436904453
"6","BEE",1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,23,23,0.705217391304348,0.162644888280556,0.0339138035791985,0.0703329238730869
"7","BELT",1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,17,17,0.491176470588235,0.136468052714783,0.033098364462671,0.0701653982199728
"8","BICYCLE",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,0.834814814814815,0.11930472846295,0.0229602056978931,0.0471953787293152
"9","BIRD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,28,0.860357142857143,0.13489315779966,0.0254924106501495,0.0523061061106239
"10","BOX",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,26,26,0.728461538461538,0.153328205042446,0.0300701349805996,0.0619306022790404
"11","BUTTON",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,24,24,0.72125,0.127869243675955,0.026101200066808,0.0539944461592725
"12","CAR",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,27,27,0.921481481481481,0.0881303101489582,0.0169606860960887,0.0348631895700913
"13","CARROT",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,24,24,0.777916666666667,0.137207528208555,0.0280073694149574,0.0579376578880694
"14","CHAIR",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,0.871851851851852,0.0974694049447564,0.0187579957275359,0.0385576124278873
"15","COUCH",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,24,24,0.699583333333333,0.152014849579749,0.0310299012330268,0.0641902413362524
"16","CROCODILE",0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,19,19,0.69,0.152825245151302,0.0350605157703345,0.0736594103241142
"17","DINOSAUR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,5,5,0.624,0.139570770578943,0.062417946137309,0.173300001029431
"18","DOG",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,28,0.931785714285714,0.0698174111484442,0.0131942505057951,0.0270723658298759
"19","EAR",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,26,0.903846153846154,0.0887728302163189,0.0174097843673027,0.0358561220995815
"20","EGG",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,0.873703703703704,0.0947932222564197,0.018242964129032,0.0374989498153312
"21","FISH (ANIMAL)",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,0.882962962962963,0.109291945470512,0.0210332447125526,0.0432344536968315
"22","HAND",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,24,24,0.933333333333333,0.0509617645816485,0.0104025266347399,0.0215192658905416
"23","HAT",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,24,24,0.841666666666667,0.175168655789255,0.0357561521344081,0.0739672362321446
"24","ICE CREAM",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,26,26,0.834615384615385,0.114864468630844,0.0225267756525823,0.0463947629257176
"25","JAR",0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,9,9,0.495555555555556,0.246632880569031,0.0822109601896769,0.1895788141565
