downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,TREE,樹,16,0.09
2023-09-04,Cantonese,produces,TREE,樹,17,0.07
2023-09-04,Cantonese,produces,TREE,樹,18,0.25
2023-09-04,Cantonese,produces,TREE,樹,19,0.24
2023-09-04,Cantonese,produces,TREE,樹,20,0.41
2023-09-04,Cantonese,produces,TREE,樹,21,0.44
2023-09-04,Cantonese,produces,TREE,樹,22,0.37
2023-09-04,Cantonese,produces,TREE,樹,23,0.43
2023-09-04,Cantonese,produces,TREE,樹,24,0.5
2023-09-04,Cantonese,produces,TREE,樹,25,0.68
2023-09-04,Cantonese,produces,TREE,樹,26,0.65
2023-09-04,Cantonese,produces,TREE,樹,27,0.77
2023-09-04,Cantonese,produces,TREE,樹,28,0.79
2023-09-04,Cantonese,produces,TREE,樹,29,0.76
2023-09-04,Cantonese,produces,TREE,樹,30,0.88
2023-09-04,Croatian,produces,TREE,drvo,8,0
2023-09-04,Croatian,produces,TREE,drvo,9,0
2023-09-04,Croatian,produces,TREE,drvo,10,0
2023-09-04,Croatian,produces,TREE,drvo,11,0
2023-09-04,Croatian,produces,TREE,drvo,12,0
2023-09-04,Croatian,produces,TREE,drvo,13,0
2023-09-04,Croatian,produces,TREE,drvo,14,0.04
2023-09-04,Croatian,produces,TREE,drvo,15,0
2023-09-04,Croatian,produces,TREE,drvo,16,0.09
2023-09-04,Croatian,produces,TREE,drvo,17,0.12
2023-09-04,Croatian,produces,TREE,drvo,18,0.09
2023-09-04,Croatian,produces,TREE,drvo,19,0.19
2023-09-04,Croatian,produces,TREE,drvo,20,0.27
2023-09-04,Croatian,produces,TREE,drvo,21,0.24
2023-09-04,Croatian,produces,TREE,drvo,22,0.42
2023-09-04,Croatian,produces,TREE,drvo,23,0.58
2023-09-04,Croatian,produces,TREE,drvo,24,0.73
2023-09-04,Croatian,produces,TREE,drvo,25,0.7
2023-09-04,Croatian,produces,TREE,drvo,26,0.76
2023-09-04,Croatian,produces,TREE,drvo,27,0.88
2023-09-04,Croatian,produces,TREE,drvo,28,0.86
2023-09-04,Croatian,produces,TREE,drvo,29,0.86
2023-09-04,Croatian,produces,TREE,drvo,30,0.86
2023-09-04,Danish,produces,TREE,træ,8,0
2023-09-04,Danish,produces,TREE,træ,9,0
2023-09-04,Danish,produces,TREE,træ,10,0
2023-09-04,Danish,produces,TREE,træ,11,0
