downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,SHOE,鞋,16,0.22
2023-09-04,Cantonese,produces,SHOE,鞋,17,0.41
2023-09-04,Cantonese,produces,SHOE,鞋,18,0.44
2023-09-04,Cantonese,produces,SHOE,鞋,19,0.44
2023-09-04,Cantonese,produces,SHOE,鞋,20,0.71
2023-09-04,Cantonese,produces,SHOE,鞋,21,0.75
2023-09-04,Cantonese,produces,SHOE,鞋,22,0.78
2023-09-04,Cantonese,produces,SHOE,鞋,23,0.8
2023-09-04,Cantonese,produces,SHOE,鞋,24,0.81
2023-09-04,Cantonese,produces,SHOE,鞋,25,0.92
2023-09-04,Cantonese,produces,SHOE,鞋,26,0.96
2023-09-04,Cantonese,produces,SHOE,鞋,27,0.97
2023-09-04,Cantonese,produces,SHOE,鞋,28,0.98
2023-09-04,Cantonese,produces,SHOE,鞋,29,0.99
2023-09-04,Cantonese,produces,SHOE,鞋,30,0.99
2023-09-04,Croatian,produces,SHOE,cipele,8,0
2023-09-04,Croatian,produces,SHOE,cipele,9,0
2023-09-04,Croatian,produces,SHOE,cipele,10,0.09
2023-09-04,Croatian,produces,SHOE,cipele,11,0
2023-09-04,Croatian,produces,SHOE,cipele,12,0.03
2023-09-04,Croatian,produces,SHOE,cipele,13,0
2023-09-04,Croatian,produces,SHOE,cipele,14,0.14
2023-09-04,Croatian,produces,SHOE,cipele,15,0.17
2023-09-04,Croatian,produces,SHOE,"cipele, cipela, tenisice",16,0.37
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",17,0.36
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",18,0.34
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",19,0.45
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",20,0.48
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",21,0.48
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",22,0.58
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",23,0.71
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",24,0.78
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",25,0.8
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",26,0.78
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",27,0.86
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",28,0.88
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",29,0.82
2023-09-04,Croatian,produces,SHOE,"cipela, tenisice",30,0.86
2023-09-04,Danish,produces,SHOE,sko,8,0.01
2023-09-04,Danish,produces,SHOE,sko,9,0
2023-09-04,Danish,produces,SHOE,sko,10,0
2023-09-04,Danish,produces,SHOE,sko,11,0
2023-09-04,Danish,produces,SHOE,sko,12,0.02
2023-09-04,Danish,produces,SHOE,sko,13,0.06
2023-09-04,Danish,produces,SHOE,sko,14,0.06
2023-09-04,Danish,produces,SHOE,sko,15,0.11
2023-09-04,Danish,produces,SHOE,sko,16,0.24
2023-09-04,Danish,produces,SHOE,sko,17,0.39
2023-09-04,Danish,produces,SHOE,sko,18,0.54
2023-09-04,Danish,produces,SHOE,sko,19,0.58
2023-09-04,Danish,produces,SHOE,sko,20,0.72
2023-09-04,Danish,produces,SHOE,sko,21,0.75
2023-09-04,Danish,produces,SHOE,sko,22,0.89
2023-09-04,Danish,produces,SHOE,sko,23,0.89
2023-09-04,Danish,produces,SHOE,sko,24,0.9
2023-09-04,Danish,produces,SHOE,sko,25,0.94
2023-09-04,Danish,produces,SHOE,sko,26,0.95
2023-09-04,Danish,produces,SHOE,sko,27,0.95
2023-09-04,Danish,produces,SHOE,sko,28,0.95
2023-09-04,Danish,produces,SHOE,sko,29,0.97
2023-09-04,Danish,produces,SHOE,sko,30,0.98
2023-09-04,Danish,produces,SHOE,sko,31,0.96
2023-09-04,Danish,produces,SHOE,sko,32,0.99
2023-09-04,Danish,produces,SHOE,sko,33,1
2023-09-04,Danish,produces,SHOE,sko,34,1
2023-09-04,Danish,produces,SHOE,sko,35,0.99
2023-09-04,Danish,produces,SHOE,sko,36,0.99
2023-09-04,English (American),produces,SHOE,shoe,8,0.02
2023-09-04,English (American),produces,SHOE,shoe,9,0.01
2023-09-04,English (American),produces,SHOE,shoe,10,0.01
2023-09-04,English (American),produces,SHOE,shoe,11,0.04
2023-09-04,English (American),produces,SHOE,shoe,12,0.06
2023-09-04,English (American),produces,SHOE,shoe,13,0.11
2023-09-04,English (American),produces,SHOE,shoe,14,0.14
2023-09-04,English (American),produces,SHOE,shoe,15,0.32
2023-09-04,English (American),produces,SHOE,shoe,16,0.45
2023-09-04,English (American),produces,SHOE,shoe,17,0.49
2023-09-04,English (American),produces,SHOE,shoe,18,0.62
2023-09-04,English (American),produces,SHOE,shoe,19,0.77
2023-09-04,English (American),produces,SHOE,shoe,20,0.78
2023-09-04,English (American),produces,SHOE,shoe,21,0.83
2023-09-04,English (American),produces,SHOE,shoe,22,0.84
2023-09-04,English (American),produces,SHOE,shoe,23,0.85
2023-09-04,English (American),produces,SHOE,shoe,24,0.9
2023-09-04,English (American),produces,SHOE,shoe,25,0.93
2023-09-04,English (American),produces,SHOE,shoe,26,0.9
2023-09-04,English (American),produces,SHOE,shoe,27,0.95
2023-09-04,English (American),produces,SHOE,shoe,28,0.97
2023-09-04,English (American),produces,SHOE,shoe,29,0.93
2023-09-04,English (American),produces,SHOE,shoe,30,0.94
2023-09-04,French (Quebecois),produces,SHOE,soulier,8,0
2023-09-04,French (Quebecois),produces,SHOE,soulier,9,0
2023-09-04,French (Quebecois),produces,SHOE,soulier,10,0
2023-09-04,French (Quebecois),produces,SHOE,soulier,11,0
2023-09-04,French (Quebecois),produces,SHOE,soulier,12,0
2023-09-04,French (Quebecois),produces,SHOE,soulier,13,0.01
2023-09-04,French (Quebecois),produces,SHOE,soulier,14,0
2023-09-04,French (Quebecois),produces,SHOE,soulier,15,0.08
2023-09-04,French (Quebecois),produces,SHOE,soulier,16,0.17
2023-09-04,French (Quebecois),produces,SHOE,soulier,17,0.37
2023-09-04,French (Quebecois),produces,SHOE,soulier,18,0.41
2023-09-04,French (Quebecois),produces,SHOE,soulier,19,0.48
2023-09-04,French (Quebecois),produces,SHOE,soulier,20,0.53
2023-09-04,French (Quebecois),produces,SHOE,soulier,21,0.7
2023-09-04,French (Quebecois),produces,SHOE,soulier,22,0.64
2023-09-04,French (Quebecois),produces,SHOE,soulier,23,0.76
2023-09-04,French (Quebecois),produces,SHOE,soulier,24,0.71
2023-09-04,French (Quebecois),produces,SHOE,soulier,25,0.8
2023-09-04,French (Quebecois),produces,SHOE,soulier,26,0.83
2023-09-04,French (Quebecois),produces,SHOE,soulier,27,0.93
2023-09-04,French (Quebecois),produces,SHOE,soulier,28,0.88
2023-09-04,French (Quebecois),produces,SHOE,soulier,29,0.9
2023-09-04,French (Quebecois),produces,SHOE,soulier,30,0.89
2023-09-04,German,produces,SHOE,Schuh,18,0.45
2023-09-04,German,produces,SHOE,Schuh,19,0.58
2023-09-04,German,produces,SHOE,Schuh,20,0.52
2023-09-04,German,produces,SHOE,Schuh,21,0.68
2023-09-04,German,produces,SHOE,Schuh,22,0.67
2023-09-04,German,produces,SHOE,Schuh,23,0.84
2023-09-04,German,produces,SHOE,Schuh,24,0.78
2023-09-04,German,produces,SHOE,Schuh,25,0.87
2023-09-04,German,produces,SHOE,Schuh,26,0.93
2023-09-04,German,produces,SHOE,Schuh,27,0.89
2023-09-04,German,produces,SHOE,Schuh,28,0.92
2023-09-04,German,produces,SHOE,Schuh,29,0.98
2023-09-04,German,produces,SHOE,Schuh,30,0.98
2023-09-04,Hebrew,produces,SHOE,נעליים,11,0
2023-09-04,Hebrew,produces,SHOE,נעליים,12,0
2023-09-04,Hebrew,produces,SHOE,נעליים,13,0
2023-09-04,Hebrew,produces,SHOE,נעליים,14,0
2023-09-04,Hebrew,produces,SHOE,נעליים,15,0
2023-09-04,Hebrew,produces,SHOE,נעליים,16,0.33
2023-09-04,Hebrew,produces,SHOE,נעליים,17,0.33
2023-09-04,Hebrew,produces,SHOE,נעליים,19,1
2023-09-04,Hebrew,produces,SHOE,נעליים,20,0.78
