downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,16,0
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,17,0.03
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,18,0.03
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,19,0.05
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,20,0.09
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,21,0.16
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,22,0.15
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,23,0.18
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,24,0.15
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,25,0.31
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,26,0.31
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,27,0.32
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,28,0.33
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,29,0.56
2023-09-04,Cantonese,produces,DINOSAUR,恐龍,30,0.66
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,16,0.01
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,17,0.01
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,18,0.06
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,19,0.11
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,20,0.21
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,21,0.2
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,22,0.31
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,23,0.34
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,24,0.34
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,25,0.51
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,26,0.56
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,27,0.64
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,28,0.54
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,29,0.67
2023-09-04,Mandarin (Beijing),produces,DINOSAUR,恐龙,30,0.79
2023-09-04,English (British),produces,DINOSAUR,dinosaur,34,0.77
2023-09-04,English (British),produces,DINOSAUR,dinosaur,35,0.8
2023-09-04,English (British),produces,DINOSAUR,dinosaur,36,0.83
2023-09-04,English (British),produces,DINOSAUR,dinosaur,37,0.8
2023-09-04,English (British),produces,DINOSAUR,dinosaur,38,0.72
2023-09-04,English (British),produces,DINOSAUR,dinosaur,39,0.84
2023-09-04,English (British),produces,DINOSAUR,dinosaur,40,0.79
2023-09-04,English (British),produces,DINOSAUR,dinosaur,41,0.79
2023-09-04,English (British),produces,DINOSAUR,dinosaur,42,0.78
2023-09-04,English (British),produces,DINOSAUR,dinosaur,43,1
2023-09-04,English (British),produces,DINOSAUR,dinosaur,44,0.67
2023-09-04,English (British),produces,DINOSAUR,dinosaur,45,0.75
2023-09-04,English (British),produces,DINOSAUR,dinosaur,46,0.2
2023-09-04,English (British),produces,DINOSAUR,dinosaur,47,0.75
2023-09-04,Korean,produces,DINOSAUR,공룡,18,0.05
2023-09-04,Korean,produces,DINOSAUR,공룡,19,0.06
2023-09-04,Korean,produces,DINOSAUR,공룡,20,0.12
2023-09-04,Korean,produces,DINOSAUR,공룡,21,0.19
2023-09-04,Korean,produces,DINOSAUR,공룡,22,0.26
2023-09-04,Korean,produces,DINOSAUR,공룡,23,0.16
2023-09-04,Korean,produces,DINOSAUR,공룡,24,0.31
2023-09-04,Korean,produces,DINOSAUR,공룡,25,0.44
2023-09-04,Korean,produces,DINOSAUR,공룡,26,0.44
2023-09-04,Korean,produces,DINOSAUR,공룡,27,0.57
2023-09-04,Korean,produces,DINOSAUR,공룡,28,0.6
2023-09-04,Korean,produces,DINOSAUR,공룡,29,0.7
2023-09-04,Korean,produces,DINOSAUR,공룡,30,0.71
2023-09-04,Korean,produces,DINOSAUR,공룡,31,0.67
2023-09-04,Korean,produces,DINOSAUR,공룡,32,0.75
