downloaded,language,measure,uni_lemma,words,age,prop
2023-09-04,Croatian,produces,CROCODILE,krokodil,16,0
2023-09-04,Croatian,produces,CROCODILE,krokodil,17,0.08
2023-09-04,Croatian,produces,CROCODILE,krokodil,18,0
2023-09-04,Croatian,produces,CROCODILE,krokodil,19,0.1
2023-09-04,Croatian,produces,CROCODILE,krokodil,20,0.12
2023-09-04,Croatian,produces,CROCODILE,krokodil,21,0.07
2023-09-04,Croatian,produces,CROCODILE,krokodil,22,0.29
2023-09-04,Croatian,produces,CROCODILE,krokodil,23,0.38
2023-09-04,Croatian,produces,CROCODILE,krokodil,24,0.23
2023-09-04,Croatian,produces,CROCODILE,krokodil,25,0.33
2023-09-04,Croatian,produces,CROCODILE,krokodil,26,0.38
2023-09-04,Croatian,produces,CROCODILE,krokodil,27,0.6
2023-09-04,Croatian,produces,CROCODILE,krokodil,28,0.76
2023-09-04,Croatian,produces,CROCODILE,krokodil,29,0.57
2023-09-04,Croatian,produces,CROCODILE,krokodil,30,0.57
2023-09-04,Danish,produces,CROCODILE,krokodille,16,0.01
2023-09-04,Danish,produces,CROCODILE,krokodille,17,0.01
2023-09-04,Danish,produces,CROCODILE,krokodille,18,0.04
2023-09-04,Danish,produces,CROCODILE,krokodille,19,0.07
2023-09-04,Danish,produces,CROCODILE,krokodille,20,0.15
2023-09-04,Danish,produces,CROCODILE,krokodille,21,0.15
2023-09-04,Danish,produces,CROCODILE,krokodille,22,0.28
2023-09-04,Danish,produces,CROCODILE,krokodille,23,0.34
2023-09-04,Danish,produces,CROCODILE,krokodille,24,0.44
2023-09-04,Danish,produces,CROCODILE,krokodille,25,0.58
2023-09-04,Danish,produces,CROCODILE,krokodille,26,0.6
2023-09-04,Danish,produces,CROCODILE,krokodille,27,0.64
2023-09-04,Danish,produces,CROCODILE,krokodille,28,0.69
2023-09-04,Danish,produces,CROCODILE,krokodille,29,0.79
2023-09-04,Danish,produces,CROCODILE,krokodille,30,0.84
2023-09-04,Danish,produces,CROCODILE,krokodille,31,0.86
2023-09-04,Danish,produces,CROCODILE,krokodille,32,0.9
2023-09-04,Danish,produces,CROCODILE,krokodille,33,0.89
2023-09-04,Danish,produces,CROCODILE,krokodille,34,0.88
2023-09-04,Danish,produces,CROCODILE,krokodille,35,0.95
2023-09-04,Danish,produces,CROCODILE,krokodille,36,0.93
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,16,0.02
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,17,0.04
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,18,0.07
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,19,0.11
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,20,0.22
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,21,0.34
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,22,0.33
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,23,0.51
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,24,0.48
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,25,0.44
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,26,0.57
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,27,0.59
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,28,0.78
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,29,0.85
2023-09-04,French (Quebecois),produces,CROCODILE,alligator/crocodile,30,0.76
2023-09-04,German,produces,CROCODILE,Krokodil,18,0.11
2023-09-04,German,produces,CROCODILE,Krokodil,19,0.15
2023-09-04,German,produces,CROCODILE,Krokodil,20,0.17
2023-09-04,German,produces,CROCODILE,Krokodil,21,0.23
2023-09-04,German,produces,CROCODILE,Krokodil,22,0.34
2023-09-04,German,produces,CROCODILE,Krokodil,23,0.37
2023-09-04,German,produces,CROCODILE,Krokodil,24,0.43
2023-09-04,German,produces,CROCODILE,Krokodil,25,0.59
2023-09-04,German,produces,CROCODILE,Krokodil,26,0.65
2023-09-04,German,produces,CROCODILE,Krokodil,27,0.61
2023-09-04,German,produces,CROCODILE,Krokodil,28,0.7
2023-09-04,German,produces,CROCODILE,Krokodil,29,0.76
2023-09-04,German,produces,CROCODILE,Krokodil,30,0.8
2023-09-04,Italian,produces,CROCODILE,coccodrillo,7,0
2023-09-04,Italian,produces,CROCODILE,coccodrillo,8,0
2023-09-04,Italian,produces,CROCODILE,coccodrillo,9,0
2023-09-04,Italian,produces,CROCODILE,coccodrillo,10,0
2023-09-04,Italian,produces,CROCODILE,coccodrillo,11,0
2023-09-04,Italian,produces,CROCODILE,coccodrillo,12,0
2023-09-04,Italian,produces,CROCODILE,coccodrillo,13,0.02
2023-09-04,Italian,produces,CROCODILE,coccodrillo,14,0
2023-09-04,Italian,produces,CROCODILE,coccodrillo,15,0.01
2023-09-04,Italian,produces,CROCODILE,coccodrillo,16,0.04
2023-09-04,Italian,produces,CROCODILE,coccodrillo,17,0.1
2023-09-04,Italian,produces,CROCODILE,coccodrillo,18,0.07
2023-09-04,Italian,produces,CROCODILE,coccodrillo,19,0.09
